a_1,a_2,a_3,a_4,b,y,He_Density
-252.8033246,280.4007768,-120.8176963,20.03062755,2.681423188,0.369237252,0.09189
-252.8013893,280.3986302,-120.8167714,20.03047421,2.681402661,0.36934657,0.09189
-252.7994546,280.3964844,-120.8158468,20.03032092,2.68138214,0.36945583,0.09189
-252.7975206,280.3943393,-120.8149225,20.03016768,2.681361627,0.369565032,0.09189
-252.7955873,280.3921948,-120.8139985,20.0300145,2.68134112,0.369674174,0.09189
-252.7936546,280.3900511,-120.8130749,20.02986136,2.68132062,0.369783259,0.0919
-252.7917225,280.3879082,-120.8121515,20.02970828,2.681300127,0.369892285,0.0919
-252.7897911,280.3857659,-120.8112285,20.02955524,2.681279641,0.370001253,0.0919
-252.7878603,280.3836244,-120.8103057,20.02940226,2.681259162,0.370110162,0.0919
-252.7859302,280.3814835,-120.8093833,20.02924933,2.68123869,0.370219013,0.0919
-252.7840007,280.3793434,-120.8084612,20.02909645,2.681218225,0.370327805,0.0919
-252.7820719,280.3772041,-120.8075394,20.02894362,2.681197766,0.37043654,0.0919
-252.7801437,280.3750654,-120.8066179,20.02879084,2.681177314,0.370545216,0.0919
-252.7782162,280.3729275,-120.8056967,20.02863812,2.68115687,0.370653834,0.0919
-252.7762894,280.3707903,-120.8047758,20.02848545,2.681136432,0.370762393,0.0919
-252.7743632,280.3686538,-120.8038553,20.02833282,2.681116001,0.370870895,0.0919
-252.7724376,280.366518,-120.802935,20.02818026,2.681095577,0.370979338,0.0919
-252.7705127,280.364383,-120.8020151,20.02802774,2.68107516,0.371087723,0.0919
-252.7685885,280.3622487,-120.8010955,20.02787527,2.68105475,0.37119605,0.0919
-252.7666649,280.3601151,-120.8001762,20.02772286,2.681034347,0.37130432,0.0919
-252.764742,280.3579823,-120.7992572,20.0275705,2.681013951,0.371412531,0.09191
-252.7628197,280.3558502,-120.7983385,20.02741819,2.680993562,0.371520684,0.09191
-252.7608981,280.3537188,-120.7974201,20.02726593,2.68097318,0.371628779,0.09191
-252.7589771,280.3515881,-120.7965021,20.02711373,2.680952805,0.371736816,0.09191
-252.7570569,280.3494582,-120.7955844,20.02696158,2.680932437,0.371844795,0.09191
-252.7551372,280.347329,-120.794667,20.02680948,2.680912076,0.371952716,0.09191
-252.7532183,280.3452006,-120.7937499,20.02665743,2.680891722,0.37206058,0.09191
-252.7513,280.3430729,-120.7928331,20.02650543,2.680871375,0.372168386,0.09191
-252.7493823,280.3409459,-120.7919166,20.02635349,2.680851036,0.372276133,0.09191
-252.7474654,280.3388197,-120.7910005,20.0262016,2.680830703,0.372383823,0.09191
-252.7455491,280.3366942,-120.7900847,20.02604977,2.680810377,0.372491456,0.09191
-252.7436334,280.3345694,-120.7891692,20.02589798,2.680790058,0.37259903,0.09191
-252.7417184,280.3324454,-120.788254,20.02574625,2.680769747,0.372706547,0.09191
-252.7398041,280.3303221,-120.7873391,20.02559457,2.680749442,0.372814006,0.09191
-252.7378905,280.3281996,-120.7864246,20.02544295,2.680729145,0.372921408,0.09192
-252.7359775,280.3260778,-120.7855103,20.02529138,2.680708854,0.373028752,0.09192
-252.7340652,280.3239567,-120.7845964,20.02513986,2.680688571,0.373136038,0.09192
-252.7321536,280.3218364,-120.7836828,20.02498839,2.680668295,0.373243267,0.09192
-252.7302427,280.3197168,-120.7827696,20.02483698,2.680648026,0.373350438,0.09192
-252.7283324,280.317598,-120.7818566,20.02468562,2.680627764,0.373457552,0.09192
-252.7264228,280.31548,-120.780944,20.02453432,2.680607509,0.373564608,0.09192
-252.7245139,280.3133626,-120.7800317,20.02438306,2.680587262,0.373671607,0.09192
-252.7226056,280.3112461,-120.7791197,20.02423186,2.680567021,0.373778549,0.09192
-252.720698,280.3091302,-120.7782081,20.02408072,2.680546788,0.373885433,0.09192
-252.7187911,280.3070152,-120.7772967,20.02392963,2.680526562,0.373992259,0.09192
-252.7168849,280.3049008,-120.7763857,20.02377859,2.680506343,0.374099029,0.09192
-252.7149793,280.3027873,-120.775475,20.02362761,2.680486131,0.374205741,0.09192
-252.7130745,280.3006745,-120.7745647,20.02347667,2.680465927,0.374312395,0.09192
-252.7111703,280.2985624,-120.7736546,20.0233258,2.68044573,0.374418993,0.09193
-252.7092668,280.2964511,-120.7727449,20.02317498,2.68042554,0.374525533,0.09193
-252.707364,280.2943405,-120.7718356,20.02302421,2.680405357,0.374632016,0.09193
-252.7054618,280.2922308,-120.7709265,20.02287349,2.680385181,0.374738442,0.09193
-252.7035603,280.2901217,-120.7700178,20.02272283,2.680365013,0.374844811,0.09193
-252.7016596,280.2880134,-120.7691094,20.02257223,2.680344852,0.374951122,0.09193
-252.6997595,280.2859059,-120.7682013,20.02242167,2.680324698,0.375057377,0.09193
-252.6978601,280.2837992,-120.7672935,20.02227118,2.680304551,0.375163574,0.09193
-252.6959613,280.2816932,-120.7663861,20.02212073,2.680284412,0.375269715,0.09193
-252.6940633,280.2795879,-120.765479,20.02197034,2.68026428,0.375375798,0.09193
-252.692166,280.2774835,-120.7645723,20.02182001,2.680244156,0.375481825,0.09193
-252.6902693,280.2753798,-120.7636658,20.02166973,2.680224038,0.375587794,0.09193
-252.6883733,280.2732768,-120.7627597,20.0215195,2.680203928,0.375693707,0.09193
-252.6864781,280.2711746,-120.7618539,20.02136933,2.680183825,0.375799562,0.09193
-252.6845835,280.2690732,-120.7609485,20.02121922,2.68016373,0.375905361,0.09193
-252.6826896,280.2669726,-120.7600434,20.02106916,2.680143642,0.376011103,0.09194
