,Instrument_Time,TS-1001,R5_Time,httemp-130000201,httemp-130000301,TS-1002,tempg-164020000,tempg-164030000
0,0.0,131.9,402.3483,0.0,0.0,143.9,0.0,0.0
1,0.5,132.9,402.3493,2.5,2.5,143.8,2.5,2.5
2,1.0,133.0,402.3504,5.0,5.0,144.0,5.0,5.0
3,1.5,132.3,402.3514,7.5,7.5,143.8,7.5,7.5
4,2.0,132.0,402.3524,10.0,10.0,143.8,10.0,10.0
5,2.5,132.8,402.3534,12.5,12.5,143.7,12.5,12.5
6,3.0,132.7,402.3544,15.0,15.0,143.9,15.0,15.0
7,3.5,132.8,402.3555,17.5,17.5,144.0,17.5,17.5
8,4.0,133.3,402.3565,20.0,20.0,144.0,20.0,20.0
9,4.5,132.9,402.3575,22.5,22.5,143.9,22.5,22.5
10,5.0,132.9,402.3584,24.5,24.5,143.9,24.5,24.5
11,5.5,132.9,,,,144.0,,
12,6.0,133.8,,,,144.0,,
13,6.5,133.4,,,,143.9,,
14,7.0,132.4,,,,143.9,,
15,7.5,133.6,,,,144.0,,
16,8.0,133.6,,,,143.8,,
17,8.5,133.0,,,,144.0,,
18,9.0,133.4,,,,144.0,,
19,9.5,133.6,,,,143.9,,
20,10.0,134.0,,,,144.0,,
21,10.5,133.2,,,,143.8,,
22,11.0,133.3,,,,143.8,,
23,11.5,133.2,,,,143.9,,
24,12.0,133.5,,,,143.9,,
25,12.5,133.5,,,,143.9,,
26,13.0,133.9,,,,143.8,,
27,13.5,134.7,,,,143.7,,
28,14.0,133.6,,,,143.9,,
29,14.5,134.1,,,,143.9,,
30,15.0,134.1,,,,143.8,,
31,15.5,134.7,,,,143.8,,
32,16.0,134.3,,,,143.9,,
33,16.5,134.1,,,,143.8,,
34,17.0,133.2,,,,143.6,,
35,17.5,134.0,,,,143.8,,
36,18.0,134.2,,,,143.9,,
37,18.5,133.6,,,,143.8,,
38,19.0,133.3,,,,143.6,,
39,19.5,134.0,,,,143.9,,
40,20.0,133.4,,,,143.9,,
41,20.5,133.9,,,,143.7,,
42,21.0,134.3,,,,143.8,,
43,21.5,134.1,,,,143.6,,
44,22.0,133.6,,,,143.7,,
45,22.5,133.8,,,,143.8,,
46,23.0,134.6,,,,143.8,,
47,23.5,133.9,,,,143.7,,
48,24.0,134.1,,,,143.7,,
49,24.5,134.1,,,,143.9,,
