,Instrument_Time,TS-1107,R5_Time,httemp-130001101,httemp-130001201,TF-1114,tempg-150110000,tempg-150120000,TS-1117,httemp-150300901,httemp-150301001,TS-1115,httemp-160001101,httemp-160001201,htvat-1600011,htvat-1600012,TS-1118,tempg-164110000,tempg-164120000,TS-1119,TS-1120,TS-1108,httemp-134001101,httemp-134001201,htvat-1340011,htvat-1340012,TS-1116,httemp-140300901,httemp-140301001,TS-1109,htvat-1401009,htvat-1401010,TF-1110,tempg-140110000,tempg-140120000,TS-1111,htvat-1451009,htvat-1451010,TF-1112,tempg-145110000,tempg-145120000,TS-1113,htvat-1501009,htvat-1501010,TF-1127,TS-1130,TS-1128,TS-1131,TS-1132,TS-1133,TS-1121,TS-1129,TS-1122,TF-1123,TS-1124,TF-1125,TS-1126
0,0.0,557.7,519.309,0.0,0.0,419.8,0.0,0.0,403.6,0.0,0.0,51.75,0.0,0.0,0.0,0.0,300.3,0.0,0.0,314.3,321.2,661.1,0.0,0.0,0.0,0.0,590.6,0.0,0.0,814.0,0.0,0.0,813.5,0.0,0.0,698.7,0.0,0.0,599.9,0.0,0.0,443.3,0.0,0.0,36.65,37.67,167.3,187.5,172.9,173.5,36.01,81.97,32.15,232.5,38.46,212.7,34.88
1,0.5,558.2,519.3053,2.5,2.5,419.5,2.5,2.5,403.6,2.5,2.5,51.59,2.5,2.5,2.5,2.5,300.5,2.5,2.5,314.4,321.3,661.2,2.5,2.5,2.5,2.5,591.0,2.5,2.5,814.1,2.5,2.5,813.3,2.5,2.5,698.6,2.5,2.5,600.4,2.5,2.5,443.4,2.5,2.5,37.05,37.29,167.6,187.3,172.8,173.5,36.72,82.21,31.88,232.3,38.23,211.9,34.61
2,1.0,557.8,519.3016,5.0,5.0,419.5,5.0,5.0,403.8,5.0,5.0,51.99,5.0,5.0,5.0,5.0,300.3,5.0,5.0,314.3,321.2,661.2,5.0,5.0,5.0,5.0,591.1,5.0,5.0,814.0,5.0,5.0,813.5,5.0,5.0,698.8,5.0,5.0,600.1,5.0,5.0,443.3,5.0,5.0,37.02,37.85,168.2,187.5,172.9,173.7,37.13,82.06,32.56,232.9,38.44,212.3,35.33
3,1.5,558.0,519.2979,7.5,7.5,419.1,7.5,7.5,403.7,7.5,7.5,52.13,7.5,7.5,7.5,7.5,300.4,7.5,7.5,314.3,321.3,661.0,7.5,7.5,7.5,7.5,590.4,7.5,7.5,814.1,7.5,7.5,813.3,7.5,7.5,698.7,7.5,7.5,599.9,7.5,7.5,443.3,7.5,7.5,36.63,37.65,167.6,187.5,172.9,173.7,36.64,82.85,32.84,232.5,38.71,212.3,35.35
4,2.0,558.0,519.2942,10.0,10.0,419.7,10.0,10.0,403.6,10.0,10.0,52.34,10.0,10.0,10.0,10.0,300.3,10.0,10.0,314.3,321.2,661.2,10.0,10.0,10.0,10.0,591.2,10.0,10.0,814.0,10.0,10.0,813.6,10.0,10.0,698.8,10.0,10.0,600.2,10.0,10.0,443.5,10.0,10.0,37.63,38.31,167.8,187.4,172.8,173.6,35.84,82.48,32.79,232.8,38.69,212.0,35.19
5,2.5,557.6,519.2904,12.5,12.5,419.5,12.5,12.5,403.5,12.5,12.5,51.73,12.5,12.5,12.5,12.5,300.4,12.5,12.5,314.3,321.1,660.8,12.5,12.5,12.5,12.5,590.2,12.5,12.5,813.7,12.5,12.5,813.1,12.5,12.5,698.6,12.5,12.5,600.1,12.5,12.5,443.2,12.5,12.5,36.45,37.39,167.3,187.4,172.8,173.6,34.97,82.17,32.49,232.1,37.8,212.5,33.99
6,3.0,557.6,519.2867,15.0,15.0,418.9,15.0,15.0,403.6,15.0,15.0,51.82,15.0,15.0,15.0,15.0,300.5,15.0,15.0,314.2,321.2,660.8,15.0,15.0,15.0,15.0,590.5,15.0,15.0,813.5,15.0,15.0,813.3,15.0,15.0,698.4,15.0,15.0,600.0,15.0,15.0,443.1,15.0,15.0,37.06,37.91,168.0,187.5,172.8,173.7,36.02,81.79,32.96,232.5,38.58,212.4,34.62
7,3.5,557.5,519.283,17.5,17.5,418.8,17.5,17.5,403.2,17.5,17.5,51.34,17.5,17.5,17.5,17.5,300.3,17.5,17.5,314.3,321.2,660.6,17.5,17.5,17.5,17.5,590.5,17.5,17.5,813.9,17.5,17.5,813.2,17.5,17.5,698.5,17.5,17.5,599.8,17.5,17.5,442.9,17.5,17.5,37.17,38.64,168.1,187.4,172.8,173.5,36.4,82.85,32.95,233.2,38.45,212.8,35.62
8,4.0,557.4,519.2793,20.0,20.0,419.2,20.0,20.0,403.1,20.0,20.0,51.46,20.0,20.0,20.0,20.0,300.3,20.0,20.0,314.3,321.2,661.0,20.0,20.0,20.0,20.0,590.3,20.0,20.0,813.8,20.0,20.0,813.2,20.0,20.0,698.4,20.0,20.0,599.8,20.0,20.0,443.1,20.0,20.0,36.46,38.48,168.2,187.4,172.7,173.7,34.61,82.16,33.49,232.5,39.12,212.1,35.44
9,4.5,557.2,519.2756,22.5,22.5,418.9,22.5,22.5,402.6,22.5,22.5,51.34,22.5,22.5,22.5,22.5,300.3,22.5,22.5,314.4,321.3,660.7,22.5,22.5,22.5,22.5,590.2,22.5,22.5,813.6,22.5,22.5,812.6,22.5,22.5,698.2,22.5,22.5,599.9,22.5,22.5,442.7,22.5,22.5,36.12,38.35,167.6,187.4,172.9,173.6,34.76,82.06,32.01,232.1,38.43,212.2,34.51
