,Instrument_Time,TS-1301,R5_Time,httemp-130000901,httemp-130001001,TF-1308,tempg-150090000,tempg-150100000,TS-1312,httemp-150300701,httemp-150300801,TS-1309,httemp-160000901,httemp-160001001,htvat-1600009,htvat-1600010,TS-1313,tempg-164090000,tempg-164100000,TS-1314,TS-1315,TS-1310,htvat-1660009,htvat-1660010,TS-1302,httemp-134000901,httemp-134001001,htvat-1340009,htvat-1340010,TS-1311,httemp-140300701,httemp-140300801,TS-1303,htvat-1401007,htvat-1401008,tempg-140090000,tempg-140100000,TS-1305,htvat-1451007,htvat-1451008,TF-1306,tempg-145090000,tempg-145100000,TS-1307,htvat-1501007,htvat-1501008,TF-1322,TS-1326,TS-1323,TS-1327,TS-1328,TS-1329,TS-1324,TS-1316,TS-1325,TS-1317,TF-1318,TS-1319,TF-1320,TS-1321,TF-1336,TS-1340,httemp-145300701,httemp-145300801,TS-1337,TS-1341,TS-1342,TS-1343,TS-1338,httemp-166000901,httemp-166001001,TS-1330,httemp-132000906,httemp-132001006,htvat-1320009,htvat-1320010,TS-1339,TS-1331,TF-1332,TS-1333,TF-1334,TS-1335
0,0.0,38.2,511.0307,0.0,0.0,358.0,0.0,0.0,443.2,0.0,0.0,335.7,0.0,0.0,0.0,0.0,296.5,0.0,0.0,322.8,333.4,240.1,0.0,0.0,40.74,0.0,0.0,0.0,0.0,621.6,0.0,0.0,796.2,0.0,0.0,0.0,0.0,615.4,0.0,0.0,566.9,0.0,0.0,402.0,0.0,0.0,184.8,189.6,163.3,177.7,49.29,167.5,153.7,37.63,41.94,216.8,207.8,190.4,177.3,194.2,623.8,40.24,0.0,0.0,390.9,380.6,38.92,140.0,245.1,0.0,0.0,40.61,0.0,0.0,0.0,0.0,40.02,40.46,396.3,602.1,616.4,39.77
1,0.5,38.42,511.026,2.5,2.5,358.2,2.5,2.5,442.7,2.5,2.5,335.4,2.5,2.5,2.5,2.5,296.5,2.5,2.5,322.8,333.4,240.4,2.5,2.5,40.37,2.5,2.5,2.5,2.5,621.2,2.5,2.5,795.5,2.5,2.5,2.5,2.5,615.8,2.5,2.5,566.5,2.5,2.5,401.2,2.5,2.5,185.2,189.2,163.3,177.5,49.31,167.6,153.7,37.52,41.8,216.9,207.9,190.7,177.3,194.0,623.4,39.83,2.5,2.5,391.0,380.5,39.0,139.8,245.1,2.5,2.5,41.27,2.5,2.5,2.5,2.5,40.08,40.74,396.3,601.9,616.7,39.68
2,1.0,38.71,511.0213,5.0,5.0,358.7,5.0,5.0,443.2,5.0,5.0,336.0,5.0,5.0,5.0,5.0,296.5,5.0,5.0,322.8,333.4,240.2,5.0,5.0,40.57,5.0,5.0,5.0,5.0,621.8,5.0,5.0,795.9,5.0,5.0,5.0,5.0,616.3,5.0,5.0,567.1,5.0,5.0,402.0,5.0,5.0,185.6,189.5,164.0,177.7,49.41,167.6,153.8,37.87,41.49,216.9,207.7,190.7,177.5,194.8,623.9,39.69,5.0,5.0,390.6,380.5,38.98,139.9,245.2,5.0,5.0,41.13,5.0,5.0,5.0,5.0,41.11,40.6,396.4,602.1,616.4,40.27
3,1.5,38.0,511.0167,7.5,7.5,357.9,7.5,7.5,442.5,7.5,7.5,335.4,7.5,7.5,7.5,7.5,296.5,7.5,7.5,322.9,333.5,240.3,7.5,7.5,40.1,7.5,7.5,7.5,7.5,621.4,7.5,7.5,795.8,7.5,7.5,7.5,7.5,615.8,7.5,7.5,567.0,7.5,7.5,401.3,7.5,7.5,185.2,190.1,164.1,177.6,49.34,167.5,153.7,37.61,40.64,217.1,208.2,190.9,177.7,194.4,623.8,39.87,7.5,7.5,390.7,380.6,39.06,140.0,245.2,7.5,7.5,41.47,7.5,7.5,7.5,7.5,41.73,40.48,396.8,602.4,617.3,40.82
4,2.0,38.44,511.012,10.0,10.0,357.9,10.0,10.0,442.6,10.0,10.0,335.0,10.0,10.0,10.0,10.0,296.5,10.0,10.0,322.8,333.4,240.2,10.0,10.0,41.17,10.0,10.0,10.0,10.0,621.0,10.0,10.0,795.6,10.0,10.0,10.0,10.0,615.1,10.0,10.0,566.7,10.0,10.0,401.4,10.0,10.0,186.2,190.4,164.5,177.7,49.41,167.6,153.6,37.44,40.96,217.4,208.5,190.7,177.5,194.8,624.3,40.38,10.0,10.0,391.1,380.5,38.95,139.7,245.2,10.0,10.0,41.62,10.0,10.0,10.0,10.0,42.33,41.51,397.1,602.7,617.3,40.62
5,2.5,37.7,511.0073,12.5,12.5,357.8,12.5,12.5,442.4,12.5,12.5,334.9,12.5,12.5,12.5,12.5,296.5,12.5,12.5,322.8,333.3,240.3,12.5,12.5,39.92,12.5,12.5,12.5,12.5,620.7,12.5,12.5,795.8,12.5,12.5,12.5,12.5,615.1,12.5,12.5,566.4,12.5,12.5,401.5,12.5,12.5,185.0,189.3,164.2,177.7,49.41,167.5,153.7,36.63,39.65,216.8,207.4,190.6,177.3,194.6,624.0,39.7,12.5,12.5,390.5,380.5,38.94,139.8,245.3,12.5,12.5,41.13,12.5,12.5,12.5,12.5,42.28,41.38,396.1,602.1,616.7,39.42
6,3.0,37.31,511.0027,15.0,15.0,358.3,15.0,15.0,442.2,15.0,15.0,335.3,15.0,15.0,15.0,15.0,296.5,15.0,15.0,322.9,333.4,240.3,15.0,15.0,39.49,15.0,15.0,15.0,15.0,620.7,15.0,15.0,795.6,15.0,15.0,15.0,15.0,615.2,15.0,15.0,566.6,15.0,15.0,401.2,15.0,15.0,185.2,188.8,163.4,177.7,49.38,167.5,153.6,37.29,40.64,216.7,207.8,190.5,177.3,194.7,623.8,40.78,15.0,15.0,390.0,380.5,39.1,139.8,245.3,15.0,15.0,40.14,15.0,15.0,15.0,15.0,40.46,41.01,396.2,601.8,616.6,38.62
7,3.5,37.43,510.998,17.5,17.5,358.0,17.5,17.5,442.1,17.5,17.5,335.3,17.5,17.5,17.5,17.5,296.4,17.5,17.5,322.8,333.3,240.2,17.5,17.5,40.45,17.5,17.5,17.5,17.5,620.8,17.5,17.5,795.5,17.5,17.5,17.5,17.5,615.2,17.5,17.5,566.0,17.5,17.5,400.8,17.5,17.5,185.5,189.3,163.9,177.6,49.37,167.4,153.9,38.09,41.05,217.4,208.0,191.4,177.9,194.8,623.6,40.99,17.5,17.5,390.8,380.4,39.1,139.6,245.3,17.5,17.5,40.18,17.5,17.5,17.5,17.5,40.29,41.71,397.0,602.3,616.8,39.1
8,4.0,37.9,510.9933,20.0,20.0,357.7,20.0,20.0,442.3,20.0,20.0,335.1,20.0,20.0,20.0,20.0,296.5,20.0,20.0,322.8,333.4,240.2,20.0,20.0,39.95,20.0,20.0,20.0,20.0,620.9,20.0,20.0,795.5,20.0,20.0,20.0,20.0,615.1,20.0,20.0,566.7,20.0,20.0,401.2,20.0,20.0,185.5,189.4,163.7,177.6,49.43,167.4,153.9,37.27,41.3,216.5,207.9,190.5,177.7,194.7,623.2,40.24,20.0,20.0,390.7,380.4,39.05,139.6,245.3,20.0,20.0,41.22,20.0,20.0,20.0,20.0,40.67,41.14,396.6,602.5,616.7,38.71
9,4.5,37.5,510.9887,22.5,22.5,358.2,22.5,22.5,443.0,22.5,22.5,335.2,22.5,22.5,22.5,22.5,296.6,22.5,22.5,322.9,333.4,240.3,22.5,22.5,39.26,22.5,22.5,22.5,22.5,621.0,22.5,22.5,795.8,22.5,22.5,22.5,22.5,615.8,22.5,22.5,567.2,22.5,22.5,401.2,22.5,22.5,184.9,189.1,164.3,177.6,49.36,167.3,153.7,37.1,41.39,216.3,207.4,190.8,177.4,194.1,623.8,40.75,22.5,22.5,390.3,380.2,39.1,139.6,245.3,22.5,22.5,41.19,22.5,22.5,22.5,22.5,40.45,41.38,396.0,602.2,617.1,38.91
