,Instrument_Time,TS-1501,R5_Time,httemp-130000701,httemp-130000801,TF-1508,tempg-150070000,tempg-150080000,TS-1512,httemp-150300501,httemp-150300601,TS-1509,httemp-160000701,httemp-160000801,htvat-1600007,htvat-1600008,TS-1513,tempg-164070000,tempg-164080000,TS-1514,TS-1515,TS-1510,htvat-1660007,htvat-1660008,TS-1502,httemp-134000701,httemp-134000801,htvat-1340007,htvat-1340008,TS-1511,httemp-140300501,httemp-140300601,TS-1503,htvat-1401005,htvat-1401006,TF-1504,tempg-140070000,tempg-140080000,TS-1505,htvat-1451005,htvat-1451006,TF-1506,tempg-145070000,tempg-145080000,TS-1507,htvat-1501005,htvat-1501006,TF-1522,TS-1526,TS-1523,TS-1527,TS-1528,TS-1529,TS-1524,TS-1516,TS-1525,TS-1517,TF-1518,TS-1519,TF-1520,TS-1521,TF-1536,TS-1540,httemp-145300501,httemp-145300601,TS-1537,TS-1541,TS-1542,TS-1543,TS-1538,httemp-166000701,httemp-166000801,httemp-132000706,httemp-132000806,htvat-1320007,htvat-1320008,TS-1539,TS-1531,TF-1532,TS-1533,TF-1534,TS-1535
0,0.0,54.67,493.3777,0.0,0.0,308.2,0.0,0.0,369.8,0.0,0.0,300.2,0.0,0.0,0.0,0.0,258.3,0.0,0.0,275.7,295.3,226.4,0.0,0.0,38.4,0.0,0.0,0.0,0.0,39.79,0.0,0.0,39.63,0.0,0.0,700.5,0.0,0.0,550.9,0.0,0.0,451.4,0.0,0.0,341.8,0.0,0.0,36.02,172.7,147.3,-91.6,-79.86,146.0,140.9,43.32,188.2,38.79,168.4,37.34,157.0,168.8,521.8,40.77,0.0,0.0,366.8,342.5,37.01,290.9,231.6,0.0,0.0,0.0,0.0,0.0,0.0,37.56,39.94,344.2,475.4,493.6,565.5
1,0.5,54.48,493.3725,2.5,2.5,307.9,2.5,2.5,369.5,2.5,2.5,299.8,2.5,2.5,2.5,2.5,258.4,2.5,2.5,275.6,295.0,226.3,2.5,2.5,37.93,2.5,2.5,2.5,2.5,38.99,2.5,2.5,39.51,2.5,2.5,700.3,2.5,2.5,550.4,2.5,2.5,451.1,2.5,2.5,341.4,2.5,2.5,34.21,172.0,147.1,-91.7,-79.87,145.9,140.8,42.57,187.3,37.6,168.1,37.08,157.0,169.0,522.6,40.83,2.5,2.5,366.9,342.5,37.14,290.9,231.5,2.5,2.5,2.5,2.5,2.5,2.5,37.43,39.61,344.4,475.3,493.5,565.2
2,1.0,54.59,493.3674,5.0,5.0,307.7,5.0,5.0,369.2,5.0,5.0,299.8,5.0,5.0,5.0,5.0,258.4,5.0,5.0,275.7,295.1,226.4,5.0,5.0,38.71,5.0,5.0,5.0,5.0,38.19,5.0,5.0,39.68,5.0,5.0,700.0,5.0,5.0,550.7,5.0,5.0,451.3,5.0,5.0,341.0,5.0,5.0,34.88,172.6,147.1,-91.36,-79.7,146.1,141.0,42.88,187.8,38.37,168.8,37.81,157.1,169.0,523.0,41.2,5.0,5.0,367.1,342.8,37.09,291.1,231.6,5.0,5.0,5.0,5.0,5.0,5.0,37.76,40.45,344.6,475.7,493.4,565.6
3,1.5,53.49,493.3623,7.5,7.5,307.8,7.5,7.5,369.5,7.5,7.5,300.1,7.5,7.5,7.5,7.5,258.4,7.5,7.5,275.8,295.1,226.3,7.5,7.5,37.8,7.5,7.5,7.5,7.5,39.34,7.5,7.5,39.51,7.5,7.5,700.2,7.5,7.5,550.3,7.5,7.5,451.1,7.5,7.5,341.3,7.5,7.5,35.48,172.5,147.2,-91.44,-79.83,145.8,140.9,42.6,188.4,38.09,168.3,37.72,157.1,169.2,523.1,41.6,7.5,7.5,366.9,342.6,37.1,291.1,231.6,7.5,7.5,7.5,7.5,7.5,7.5,37.62,38.45,344.7,475.1,493.5,565.2
4,2.0,53.51,493.3572,10.0,10.0,307.4,10.0,10.0,369.8,10.0,10.0,300.0,10.0,10.0,10.0,10.0,258.4,10.0,10.0,275.7,295.2,226.4,10.0,10.0,37.18,10.0,10.0,10.0,10.0,39.47,10.0,10.0,39.12,10.0,10.0,700.1,10.0,10.0,550.2,10.0,10.0,450.5,10.0,10.0,341.3,10.0,10.0,35.24,172.8,147.8,-91.39,-79.91,146.0,140.9,42.84,188.1,38.87,168.4,38.17,157.2,168.6,523.4,41.99,10.0,10.0,366.5,342.6,37.01,291.1,231.5,10.0,10.0,10.0,10.0,10.0,10.0,38.48,39.44,345.1,475.4,493.7,565.7
5,2.5,53.53,493.3521,12.5,12.5,307.5,12.5,12.5,369.0,12.5,12.5,299.5,12.5,12.5,12.5,12.5,258.2,12.5,12.5,275.7,294.9,226.4,12.5,12.5,36.45,12.5,12.5,12.5,12.5,38.55,12.5,12.5,38.76,12.5,12.5,699.7,12.5,12.5,550.5,12.5,12.5,451.0,12.5,12.5,341.0,12.5,12.5,35.79,172.7,147.7,-91.39,-79.83,146.0,141.0,43.43,187.8,39.47,168.7,37.89,157.6,169.3,523.0,40.62,12.5,12.5,366.9,342.6,37.04,291.1,231.5,12.5,12.5,12.5,12.5,12.5,12.5,38.6,38.73,344.5,475.1,493.4,565.5
6,3.0,54.13,493.347,15.0,15.0,308.4,15.0,15.0,370.1,15.0,15.0,300.2,15.0,15.0,15.0,15.0,258.2,15.0,15.0,275.6,295.0,226.2,15.0,15.0,38.15,15.0,15.0,15.0,15.0,39.54,15.0,15.0,38.76,15.0,15.0,699.7,15.0,15.0,550.6,15.0,15.0,451.0,15.0,15.0,341.5,15.0,15.0,35.6,172.4,147.0,-91.49,-79.68,146.0,140.8,43.46,188.2,39.15,168.6,38.49,157.0,168.7,522.8,40.45,15.0,15.0,367.0,342.6,37.06,291.1,231.4,15.0,15.0,15.0,15.0,15.0,15.0,38.93,39.36,345.0,475.3,493.8,565.4
7,3.5,54.79,493.3419,17.5,17.5,308.3,17.5,17.5,369.5,17.5,17.5,300.2,17.5,17.5,17.5,17.5,258.4,17.5,17.5,275.7,295.2,226.4,17.5,17.5,37.67,17.5,17.5,17.5,17.5,39.01,17.5,17.5,38.77,17.5,17.5,699.6,17.5,17.5,550.3,17.5,17.5,451.0,17.5,17.5,341.3,17.5,17.5,35.53,172.1,147.2,-91.54,-79.91,145.9,141.0,43.08,187.8,39.06,168.2,37.46,156.9,168.6,522.3,40.76,17.5,17.5,366.9,342.6,37.13,291.2,231.5,17.5,17.5,17.5,17.5,17.5,17.5,38.57,38.73,344.5,475.5,493.2,565.7
8,4.0,53.91,493.3368,20.0,20.0,307.6,20.0,20.0,369.6,20.0,20.0,299.4,20.0,20.0,20.0,20.0,258.2,20.0,20.0,275.6,295.1,226.4,20.0,20.0,37.65,20.0,20.0,20.0,20.0,38.39,20.0,20.0,38.76,20.0,20.0,699.5,20.0,20.0,550.3,20.0,20.0,450.8,20.0,20.0,340.7,20.0,20.0,36.46,173.0,147.3,-91.5,-79.91,146.0,141.0,43.18,187.9,39.02,168.5,37.8,157.3,169.4,522.5,40.24,20.0,20.0,366.6,342.6,37.03,291.1,231.7,20.0,20.0,20.0,20.0,20.0,20.0,38.16,39.33,344.7,475.5,493.1,565.4
9,4.5,53.67,493.3317,22.5,22.5,308.0,22.5,22.5,369.8,22.5,22.5,299.8,22.5,22.5,22.5,22.5,258.3,22.5,22.5,275.7,295.1,226.4,22.5,22.5,37.99,22.5,22.5,22.5,22.5,38.76,22.5,22.5,39.02,22.5,22.5,700.2,22.5,22.5,550.7,22.5,22.5,451.0,22.5,22.5,340.8,22.5,22.5,35.98,172.2,147.0,-91.44,-79.75,145.9,140.8,42.58,187.9,38.52,168.4,37.54,157.2,168.7,522.4,40.54,22.5,22.5,366.8,342.4,37.01,291.2,231.5,22.5,22.5,22.5,22.5,22.5,22.5,39.06,40.03,344.7,475.6,493.5,565.3
