,Instrument_Time,R5_Time,httemp-130000601,httemp-130000701,TS-1602,tempg-164060000,tempg-164070000
0,0.0,431.9211,0.0,0.0,243.3,0.0,0.0
1,0.5,431.9245,2.5,2.5,243.2,2.5,2.5
2,1.0,431.9278,5.0,5.0,243.3,5.0,5.0
3,1.5,431.9312,7.5,7.5,243.3,7.5,7.5
4,2.0,431.9346,10.0,10.0,243.3,10.0,10.0
5,2.5,431.938,12.5,12.5,243.3,12.5,12.5
6,3.0,431.9414,15.0,15.0,243.4,15.0,15.0
7,3.5,431.9448,17.5,17.5,243.3,17.5,17.5
8,4.0,431.9482,20.0,20.0,243.2,20.0,20.0
9,4.5,431.9515,22.5,22.5,243.4,22.5,22.5
10,5.0,431.9545,24.5,24.5,243.1,24.5,24.5
11,5.5,,,,243.3,,
12,6.0,,,,243.4,,
13,6.5,,,,243.3,,
14,7.0,,,,243.5,,
15,7.5,,,,243.4,,
16,8.0,,,,243.5,,
17,8.5,,,,243.4,,
18,9.0,,,,243.2,,
19,9.5,,,,243.4,,
20,10.0,,,,243.4,,
21,10.5,,,,243.3,,
22,11.0,,,,243.2,,
23,11.5,,,,243.4,,
24,12.0,,,,243.3,,
25,12.5,,,,243.4,,
26,13.0,,,,243.4,,
27,13.5,,,,243.4,,
28,14.0,,,,243.3,,
29,14.5,,,,243.4,,
30,15.0,,,,243.4,,
31,15.5,,,,243.4,,
32,16.0,,,,243.4,,
33,16.5,,,,243.2,,
34,17.0,,,,243.4,,
35,17.5,,,,243.2,,
36,18.0,,,,243.4,,
37,18.5,,,,243.3,,
38,19.0,,,,243.3,,
39,19.5,,,,243.4,,
40,20.0,,,,243.2,,
41,20.5,,,,243.3,,
42,21.0,,,,243.3,,
43,21.5,,,,243.2,,
44,22.0,,,,243.3,,
45,22.5,,,,243.3,,
46,23.0,,,,243.2,,
47,23.5,,,,243.5,,
48,24.0,,,,243.3,,
49,24.5,,,,243.4,,
