,Instrument_Time,TS-1701,R5_Time,httemp-130000501,httemp-130000601,TF-1708,tempg-150050000,tempg-150060000,TS-1712,httemp-150300301,httemp-150300401,TS-1709,httemp-160000501,httemp-160000601,htvat-1600005,htvat-1600006,TS-1713,tempg-164050000,tempg-164060000,TS-1714,TS-1715,TS-1710,htvat-1660005,htvat-1660006,TS-1702,httemp-134000501,httemp-134000601,htvat-1340005,htvat-1340006,TS-1711,httemp-140300301,httemp-140300401,TS-1703,htvat-1401003,htvat-1401004,TF-1704,tempg-140050000,tempg-140060000,TS-1705,htvat-1451003,htvat-1451004,TF-1706,tempg-145050000,tempg-145060000,TS-1707,htvat-1501003,htvat-1501004,TF-1722,TS-1726,TS-1723,TS-1727,TS-1728,TS-1729,TS-1724,TS-1716,TS-1725,TS-1717,TF-1718,TS-1719,TF-1720,TS-1721,TF-1736,TS-1740,httemp-145300301,httemp-145300501,TS-1737,TS-1741,TS-1742,TS-1743,TS-1738,httemp-166000501,httemp-166000601,TS-1730,httemp-132000506,httemp-132000606,htvat-1320005,htvat-1320006,TS-1739,TS-1731,TF-1732,TS-1733,TF-1734,TS-1735
0,0.0,290.7,468.5509,0.0,0.0,213.3,0.0,0.0,247.8,0.0,0.0,210.0,0.0,0.0,0.0,0.0,194.1,0.0,0.0,214.9,231.5,191.2,0.0,0.0,354.0,0.0,0.0,0.0,0.0,375.1,0.0,0.0,487.0,0.0,0.0,490.9,0.0,0.0,372.8,0.0,0.0,306.0,0.0,0.0,229.0,0.0,0.0,37.5,133.7,129.4,137.7,129.3,128.4,127.2,205.3,155.4,142.3,140.9,138.6,42.97,41.61,392.9,431.0,0.0,0.0,271.8,279.9,255.1,231.4,197.4,0.0,0.0,285.7,0.0,0.0,0.0,0.0,353.0,219.7,219.5,321.4,371.7,418.8
1,0.5,290.3,468.5465,2.5,2.5,213.2,2.5,2.5,247.7,2.5,2.5,209.7,2.5,2.5,2.5,2.5,194.0,2.5,2.5,214.7,231.3,191.3,2.5,2.5,353.6,2.5,2.5,2.5,2.5,374.9,2.5,2.5,486.8,2.5,2.5,490.8,2.5,2.5,372.6,2.5,2.5,305.8,2.5,2.5,228.9,2.5,2.5,37.64,134.0,130.3,137.7,129.1,128.3,127.2,204.8,155.9,141.3,139.2,138.0,41.56,40.28,392.3,431.0,2.5,2.5,271.7,279.8,255.0,231.3,197.3,2.5,2.5,285.6,2.5,2.5,2.5,2.5,352.2,219.8,219.0,321.8,371.2,419.7
2,1.0,290.1,468.542,5.0,5.0,212.5,5.0,5.0,247.4,5.0,5.0,209.4,5.0,5.0,5.0,5.0,194.1,5.0,5.0,214.9,231.5,191.4,5.0,5.0,353.7,5.0,5.0,5.0,5.0,374.8,5.0,5.0,486.5,5.0,5.0,490.8,5.0,5.0,372.7,5.0,5.0,305.7,5.0,5.0,228.7,5.0,5.0,37.62,132.7,130.7,137.9,129.3,128.4,127.4,205.6,156.5,142.0,140.2,138.6,42.26,41.36,392.8,430.6,5.0,5.0,271.6,279.9,255.3,231.6,197.4,5.0,5.0,286.1,5.0,5.0,5.0,5.0,351.4,220.3,219.7,322.3,371.6,419.8
3,1.5,290.6,468.5376,7.5,7.5,212.5,7.5,7.5,247.0,7.5,7.5,209.5,7.5,7.5,7.5,7.5,194.1,7.5,7.5,214.8,231.4,191.3,7.5,7.5,354.0,7.5,7.5,7.5,7.5,375.0,7.5,7.5,486.8,7.5,7.5,490.6,7.5,7.5,372.6,7.5,7.5,305.8,7.5,7.5,229.1,7.5,7.5,37.84,135.7,130.7,137.8,129.3,128.3,127.4,205.5,155.4,142.4,139.8,137.9,41.3,40.57,393.0,430.2,7.5,7.5,271.2,279.9,255.1,231.4,197.4,7.5,7.5,285.6,7.5,7.5,7.5,7.5,351.5,219.7,219.0,321.9,371.5,419.5
4,2.0,290.6,468.5331,10.0,10.0,212.7,10.0,10.0,247.7,10.0,10.0,209.6,10.0,10.0,10.0,10.0,194.1,10.0,10.0,214.9,231.5,191.3,10.0,10.0,353.7,10.0,10.0,10.0,10.0,375.0,10.0,10.0,487.0,10.0,10.0,490.4,10.0,10.0,372.8,10.0,10.0,305.7,10.0,10.0,228.6,10.0,10.0,37.58,137.1,130.0,137.9,129.3,128.3,127.5,205.4,155.1,141.7,140.3,138.4,42.4,41.05,393.0,430.9,10.0,10.0,271.7,280.0,255.1,231.5,197.3,10.0,10.0,285.5,10.0,10.0,10.0,10.0,352.0,220.0,219.7,321.9,371.6,419.6
5,2.5,290.3,468.5287,12.5,12.5,212.3,12.5,12.5,247.5,12.5,12.5,209.3,12.5,12.5,12.5,12.5,194.0,12.5,12.5,214.9,231.5,191.3,12.5,12.5,353.8,12.5,12.5,12.5,12.5,374.7,12.5,12.5,486.4,12.5,12.5,490.5,12.5,12.5,372.5,12.5,12.5,304.9,12.5,12.5,228.4,12.5,12.5,38.33,137.0,129.6,138.0,129.4,128.3,127.4,205.1,155.6,142.6,140.8,139.2,41.96,41.39,392.0,430.7,12.5,12.5,271.0,280.0,255.3,231.5,197.5,12.5,12.5,285.1,12.5,12.5,12.5,12.5,351.8,219.9,218.9,321.8,371.3,419.5
6,3.0,290.8,468.5243,15.0,15.0,213.0,15.0,15.0,247.8,15.0,15.0,210.2,15.0,15.0,15.0,15.0,194.0,15.0,15.0,214.9,231.4,191.1,15.0,15.0,354.3,15.0,15.0,15.0,15.0,375.6,15.0,15.0,487.3,15.0,15.0,490.9,15.0,15.0,373.2,15.0,15.0,306.1,15.0,15.0,229.0,15.0,15.0,38.06,134.1,130.1,137.9,129.3,128.3,127.4,205.5,156.5,142.3,139.9,138.5,42.2,41.38,391.4,431.1,15.0,15.0,271.2,279.8,255.1,231.4,197.4,15.0,15.0,285.4,15.0,15.0,15.0,15.0,352.2,220.0,219.5,322.0,371.6,419.7
7,3.5,290.4,468.5198,17.5,17.5,212.5,17.5,17.5,247.7,17.5,17.5,209.6,17.5,17.5,17.5,17.5,194.1,17.5,17.5,214.9,231.4,191.1,17.5,17.5,354.4,17.5,17.5,17.5,17.5,374.9,17.5,17.5,486.9,17.5,17.5,490.6,17.5,17.5,372.4,17.5,17.5,305.7,17.5,17.5,229.1,17.5,17.5,38.46,135.2,129.9,138.0,129.4,128.4,127.4,205.3,155.5,143.2,140.3,138.4,41.96,40.89,390.0,430.7,17.5,17.5,271.2,280.1,255.3,231.6,197.5,17.5,17.5,285.7,17.5,17.5,17.5,17.5,352.2,219.9,219.8,321.7,371.7,419.4
8,4.0,290.2,468.5154,20.0,20.0,212.6,20.0,20.0,247.8,20.0,20.0,209.5,20.0,20.0,20.0,20.0,194.0,20.0,20.0,214.8,231.3,191.2,20.0,20.0,354.2,20.0,20.0,20.0,20.0,374.5,20.0,20.0,486.9,20.0,20.0,490.5,20.0,20.0,372.4,20.0,20.0,305.2,20.0,20.0,228.6,20.0,20.0,39.52,132.6,130.4,138.0,129.5,128.3,127.6,206.1,155.8,142.2,140.4,138.5,43.13,41.54,389.1,430.9,20.0,20.0,271.5,280.1,255.3,231.6,197.5,20.0,20.0,285.2,20.0,20.0,20.0,20.0,352.2,219.3,219.9,321.8,371.9,419.5
9,4.5,290.4,468.511,22.5,22.5,212.4,22.5,22.5,247.9,22.5,22.5,209.1,22.5,22.5,22.5,22.5,194.2,22.5,22.5,215.0,231.6,191.3,22.5,22.5,354.2,22.5,22.5,22.5,22.5,374.9,22.5,22.5,486.9,22.5,22.5,490.8,22.5,22.5,372.3,22.5,22.5,305.9,22.5,22.5,228.6,22.5,22.5,37.5,135.0,129.7,137.9,129.3,128.2,127.4,205.6,156.2,142.1,140.0,138.5,41.91,40.53,388.2,431.0,22.5,22.5,271.2,279.9,255.1,231.6,197.4,22.5,22.5,285.5,22.5,22.5,22.5,22.5,352.7,219.6,219.5,321.8,371.6,419.6
10,5.0,290.1,468.5071,24.5,24.5,212.3,24.5,24.5,248.0,24.5,24.5,209.6,24.5,24.5,24.5,24.5,194.0,24.5,24.5,214.8,231.4,191.3,24.5,24.5,354.2,24.5,24.5,24.5,24.5,374.9,24.5,24.5,486.8,24.5,24.5,490.5,24.5,24.5,372.4,24.5,24.5,305.6,24.5,24.5,228.6,24.5,24.5,38.28,137.5,130.4,137.9,129.4,128.3,127.3,205.3,156.0,141.7,139.8,137.5,42.19,41.01,388.7,430.8,24.5,24.5,271.2,279.7,255.3,231.6,197.6,24.5,24.5,285.6,24.5,24.5,24.5,24.5,352.9,220.4,219.7,322.3,371.2,419.4
11,5.5,289.8,,,,212.0,,,247.4,,,209.1,,,,,194.0,,,214.7,231.4,191.2,,,353.5,,,,,374.7,,,486.6,,,490.3,,,372.3,,,305.3,,,228.5,,,38.63,135.5,129.7,137.8,129.5,128.3,127.3,205.7,155.1,142.3,140.5,139.0,41.91,41.1,388.8,430.7,,,270.8,279.3,255.2,231.7,197.4,,,285.4,,,,,352.4,219.9,219.7,321.5,371.6,419.4
12,6.0,290.1,,,,213.1,,,247.7,,,209.8,,,,,194.1,,,215.0,231.6,191.5,,,354.5,,,,,374.9,,,486.8,,,490.6,,,373.1,,,306.1,,,228.8,,,38.97,130.3,130.3,137.9,129.5,128.2,127.3,205.5,156.0,141.8,139.8,138.5,42.29,40.51,389.0,431.2,,,270.1,278.8,255.3,231.8,197.6,,,284.4,,,,,352.9,218.6,219.0,321.3,371.3,418.7
13,6.5,290.4,,,,212.7,,,247.5,,,209.3,,,,,194.1,,,214.8,231.4,191.3,,,354.0,,,,,375.2,,,486.5,,,490.9,,,372.7,,,306.0,,,228.8,,,37.07,135.8,129.9,137.7,129.3,128.2,127.3,204.8,155.7,141.7,139.3,138.9,41.67,40.58,388.9,431.0,,,271.1,278.1,255.3,231.6,197.4,,,285.4,,,,,353.0,219.6,219.7,321.7,371.9,419.1
