,Instrument_Time,TS-1901,R5_Time,httemp-130000301,httemp-130000401,TF-1908,tempg-150030000,tempg-150040000,TS-1912,httemp-150300101,httemp-150300201,TS-1909,httemp-160000301,httemp-160000401,htvat-1600003,htvat-1600004,TS-1913,tempg-164030000,tempg-164040000,TS-1914,TS-1915,TS-1910,htvat-1660003,htvat-1660004,TS-1902,httemp-134000301,httemp-134000401,htvat-1340003,htvat-1340004,TS-1911,httemp-140300101,httemp-140300201,TS-1903,htvat-1401001,htvat-1401002,TF-1904,tempg-140030000,tempg-140040000,TS-1905,htvat-1451001,htvat-1451002,TF-1906,tempg-145030000,tempg-145040000,TS-1907,htvat-1501001,htvat-1501002,TF-1922,TS-1926,TS-1923,TS-1927,TS-1928,TS-1929,TS-1924,TS-1916,TS-1925,TS-1917,TF-1918,TS-1919,TF-1920,TS-1921
0,0.0,156.5,439.3253,0.0,0.0,146.5,0.0,0.0,139.0,0.0,0.0,148.7,0.0,0.0,0.0,0.0,146.0,0.0,0.0,155.9,161.2,155.7,0.0,0.0,173.1,0.0,0.0,0.0,0.0,37.9,0.0,0.0,220.0,0.0,0.0,222.9,0.0,0.0,189.4,0.0,0.0,170.7,0.0,0.0,151.9,0.0,0.0,124.8,122.4,119.7,122.5,118.7,118.6,119.0,138.8,125.3,121.4,120.1,120.9,120.0,122.9
1,0.5,156.3,439.3222,2.5,2.5,146.6,2.5,2.5,138.1,2.5,2.5,148.7,2.5,2.5,2.5,2.5,145.9,2.5,2.5,155.9,161.1,155.3,2.5,2.5,172.9,2.5,2.5,2.5,2.5,37.79,2.5,2.5,220.3,2.5,2.5,222.8,2.5,2.5,189.2,2.5,2.5,170.6,2.5,2.5,151.4,2.5,2.5,124.5,122.2,119.8,122.4,118.6,118.5,119.0,139.0,125.3,121.6,120.4,121.2,120.1,123.5
2,1.0,156.6,439.3191,5.0,5.0,146.1,5.0,5.0,138.3,5.0,5.0,147.7,5.0,5.0,5.0,5.0,145.9,5.0,5.0,156.0,161.2,155.5,5.0,5.0,172.6,5.0,5.0,5.0,5.0,36.29,5.0,5.0,219.5,5.0,5.0,222.3,5.0,5.0,188.9,5.0,5.0,170.2,5.0,5.0,150.5,5.0,5.0,126.0,123.8,120.3,122.6,118.7,118.7,119.0,139.4,125.7,122.5,122.4,121.5,120.9,125.2
3,1.5,155.8,439.3159,7.5,7.5,145.7,7.5,7.5,137.2,7.5,7.5,147.6,7.5,7.5,7.5,7.5,146.0,7.5,7.5,155.9,161.2,155.4,7.5,7.5,172.4,7.5,7.5,7.5,7.5,37.09,7.5,7.5,219.7,7.5,7.5,222.0,7.5,7.5,188.5,7.5,7.5,169.8,7.5,7.5,150.9,7.5,7.5,125.7,122.8,119.8,122.5,118.6,118.6,119.0,139.0,125.9,122.1,120.9,120.9,121.0,124.3
4,2.0,157.2,439.3128,10.0,10.0,146.9,10.0,10.0,138.0,10.0,10.0,148.1,10.0,10.0,10.0,10.0,146.0,10.0,10.0,156.0,161.4,155.5,10.0,10.0,173.2,10.0,10.0,10.0,10.0,37.23,10.0,10.0,220.4,10.0,10.0,222.9,10.0,10.0,189.3,10.0,10.0,170.8,10.0,10.0,151.4,10.0,10.0,124.4,122.3,118.9,122.6,118.7,118.5,119.0,138.6,125.5,121.8,120.4,119.8,120.2,124.1
5,2.5,156.6,439.3097,12.5,12.5,146.5,12.5,12.5,138.1,12.5,12.5,148.5,12.5,12.5,12.5,12.5,146.0,12.5,12.5,156.0,161.2,155.4,12.5,12.5,172.9,12.5,12.5,12.5,12.5,37.55,12.5,12.5,220.0,12.5,12.5,222.8,12.5,12.5,189.1,12.5,12.5,170.7,12.5,12.5,151.1,12.5,12.5,124.6,121.8,119.7,122.5,118.9,118.6,118.9,139.7,125.4,121.6,120.8,121.4,121.1,124.6
6,3.0,157.2,439.3066,15.0,15.0,146.8,15.0,15.0,138.4,15.0,15.0,148.7,15.0,15.0,15.0,15.0,146.2,15.0,15.0,155.8,161.2,155.4,15.0,15.0,173.7,15.0,15.0,15.0,15.0,37.54,15.0,15.0,220.1,15.0,15.0,222.9,15.0,15.0,189.4,15.0,15.0,171.0,15.0,15.0,151.4,15.0,15.0,125.9,123.1,120.0,122.6,118.8,118.5,119.0,139.1,125.4,122.4,122.4,121.6,120.2,124.9
7,3.5,157.4,439.3034,17.5,17.5,146.6,17.5,17.5,138.2,17.5,17.5,148.2,17.5,17.5,17.5,17.5,146.0,17.5,17.5,155.9,161.2,155.5,17.5,17.5,173.0,17.5,17.5,17.5,17.5,37.52,17.5,17.5,220.4,17.5,17.5,222.9,17.5,17.5,189.0,17.5,17.5,170.7,17.5,17.5,151.2,17.5,17.5,125.2,123.0,119.7,122.7,118.8,118.6,118.9,138.8,126.2,122.5,121.7,120.6,120.8,124.9
8,4.0,157.0,439.3003,20.0,20.0,146.9,20.0,20.0,138.3,20.0,20.0,148.8,20.0,20.0,20.0,20.0,146.0,20.0,20.0,156.0,161.3,155.4,20.0,20.0,173.4,20.0,20.0,20.0,20.0,37.55,20.0,20.0,220.5,20.0,20.0,223.0,20.0,20.0,189.2,20.0,20.0,170.5,20.0,20.0,151.2,20.0,20.0,125.3,122.6,120.0,122.7,118.8,118.7,119.0,140.3,126.1,122.6,122.4,121.0,121.6,125.3
9,4.5,157.4,439.2972,22.5,22.5,147.6,22.5,22.5,139.0,22.5,22.5,148.9,22.5,22.5,22.5,22.5,146.1,22.5,22.5,155.9,161.3,155.4,22.5,22.5,173.3,22.5,22.5,22.5,22.5,38.06,22.5,22.5,220.7,22.5,22.5,223.1,22.5,22.5,189.4,22.5,22.5,170.9,22.5,22.5,151.6,22.5,22.5,125.2,123.0,120.0,122.6,118.7,118.5,119.0,138.9,125.4,121.9,122.5,121.6,120.9,124.3
