,Instrument_Time,TF-6101,R5_Time,tempg-270040000,TF-6102,TF-6301,tempg-258010000,TF-6302
0,0.0,78.37,439.3253,0.0,75.86,32.47,0.0,33.51
1,0.5,78.34,439.3222,2.5,75.8,32.44,2.5,33.48
2,1.0,78.45,439.3191,5.0,75.78,32.36,5.0,33.45
3,1.5,78.29,439.3159,7.5,75.77,32.4,7.5,33.51
4,2.0,78.36,439.3128,10.0,75.71,32.35,10.0,33.4
5,2.5,78.17,439.3097,12.5,75.67,32.34,12.5,33.47
6,3.0,78.31,439.3066,15.0,75.86,32.43,15.0,33.38
7,3.5,78.25,439.3034,17.5,75.83,32.37,17.5,33.45
8,4.0,78.41,439.3003,20.0,75.98,32.34,20.0,33.5
9,4.5,78.35,439.2972,22.5,75.94,32.43,22.5,33.39
10,5.0,78.31,439.2945,24.5,75.76,32.52,24.5,33.43
11,5.5,78.4,,,75.82,32.38,,33.34
12,6.0,78.28,,,75.8,32.4,,33.47
13,6.5,78.34,,,75.78,32.42,,33.48
14,7.0,78.28,,,75.84,32.4,,33.48
15,7.5,78.35,,,75.74,32.53,,33.54
16,8.0,78.26,,,75.71,32.48,,33.58
17,8.5,78.31,,,75.93,32.4,,33.54
18,9.0,78.21,,,75.74,32.37,,33.4
19,9.5,78.39,,,75.74,32.39,,33.49
20,10.0,78.33,,,75.75,32.38,,33.46
21,10.5,78.53,,,75.95,32.46,,33.54
22,11.0,78.37,,,75.78,32.47,,33.43
23,11.5,78.51,,,75.83,32.48,,33.49
24,12.0,78.23,,,75.6,32.4,,33.54
25,12.5,78.44,,,75.77,32.52,,33.65
26,13.0,78.38,,,75.77,32.46,,33.55
27,13.5,78.48,,,75.83,32.39,,33.5
28,14.0,78.58,,,75.76,32.42,,33.51
29,14.5,78.43,,,75.78,32.43,,33.48
30,15.0,78.35,,,75.59,32.53,,33.6
31,15.5,78.5,,,76.05,32.41,,33.42
32,16.0,78.49,,,75.89,32.34,,33.46
33,16.5,78.43,,,75.8,32.35,,33.44
34,17.0,78.34,,,75.7,32.34,,33.51
35,17.5,78.37,,,75.76,32.37,,33.44
36,18.0,78.18,,,75.58,32.41,,33.46
37,18.5,78.38,,,75.76,32.29,,33.52
38,19.0,78.41,,,75.81,32.4,,33.56
39,19.5,78.29,,,75.84,32.38,,33.53
40,20.0,78.37,,,75.73,32.51,,33.5
41,20.5,78.23,,,75.66,32.41,,33.58
42,21.0,78.33,,,75.71,32.36,,33.51
43,21.5,78.31,,,75.79,32.39,,33.41
44,22.0,78.29,,,75.78,32.42,,33.48
45,22.5,78.39,,,75.84,32.41,,33.43
46,23.0,78.32,,,75.71,32.31,,33.49
47,23.5,78.39,,,75.72,32.39,,33.49
48,24.0,78.32,,,75.86,32.32,,33.56
49,24.5,78.28,,,75.72,32.35,,33.4
