,Instrument_Time,TS-2112,R5_Time,httemp-175000101,tempg-183010000,TF-2412,tempg-145140000,TF-2212,tempg-183020000,TF-2312,tempg-183040000,TS-2113,TF-2413,TF-2213,TF-2313,TS-2114,TF-2414,tempg-150140000,TF-2214,TF-2314,TF-2215,TF-2315,TS-2102,TF-2402,TF-2202,TF-2302,TF-2216,TF-2316,TF-2201,TF-2301,TS-2103,TF-2403,TF-2203,TF-2303,TS-2104,TF-2404,TF-2204,TF-2304,TS-2105,TF-2405,TF-2205,TF-2305,TS-2106,TF-2406,TF-2206,TF-2306,TS-2107,tempg-175010000,TF-2407,TF-2207,tempg-180010000,TF-2307,tempg-185010000,TF-2208,TF-2308,TS-2109,TF-2409,TF-2209,TF-2309,TS-2110,TF-2410,tempg-140140000,TF-2210,TF-2310,TS-2111,TF-2411,TF-2211,TF-2311
0,0.0,231.0,521.3717,0.0,0.0,327.6,0.0,284.1,0.0,330.1,0.0,193.8,44.04,220.1,294.4,193.2,357.2,0.0,248.4,291.7,199.9,251.2,198.3,379.5,191.6,250.7,153.6,176.6,168.1,203.6,195.1,54.58,209.5,307.1,60.94,288.4,225.2,299.4,28.16,502.1,172.3,294.4,205.2,438.3,217.2,333.7,207.8,0.0,219.8,228.5,0.0,52.29,0.0,73.95,312.7,176.6,30.93,191.0,318.8,205.1,488.4,0.0,215.7,319.8,223.3,256.2,256.0,287.1
1,0.5,231.0,521.3675,2.5,2.5,327.7,2.5,284.5,2.5,330.0,2.5,194.0,44.16,220.1,294.4,193.1,357.1,2.5,247.5,291.6,199.9,251.3,198.6,379.7,191.9,250.9,153.4,176.5,168.3,203.7,195.3,54.67,209.6,307.2,60.94,288.6,225.2,299.5,28.31,502.2,172.3,294.6,205.5,438.4,217.5,333.9,207.8,2.5,220.0,228.6,2.5,52.41,2.5,74.03,312.8,176.7,30.9,191.3,318.9,205.0,488.6,2.5,215.7,319.8,223.3,256.2,256.1,287.1
2,1.0,231.1,521.3624,5.0,5.0,327.5,5.0,284.9,5.0,330.0,5.0,193.9,44.1,220.1,294.3,193.1,357.1,5.0,247.9,291.6,200.1,251.2,198.6,379.6,191.7,250.9,153.5,176.6,168.3,203.6,195.1,54.65,209.6,307.1,60.93,288.5,225.2,299.5,28.27,502.2,172.4,294.5,205.5,438.4,217.6,334.0,207.8,5.0,220.0,228.6,5.0,52.38,5.0,74.12,312.8,176.8,31.12,191.1,318.9,205.0,488.5,5.0,215.7,319.8,223.2,256.1,256.2,287.0
3,1.5,231.1,521.357,7.5,7.5,327.6,7.5,285.0,7.5,330.0,7.5,193.9,44.06,220.0,294.2,193.2,357.1,7.5,248.4,291.6,200.0,251.3,198.7,379.7,191.9,250.8,153.5,176.5,168.2,203.6,195.3,54.62,209.7,307.1,61.05,288.5,225.4,299.6,28.41,502.2,172.4,294.6,205.5,438.6,217.7,334.0,207.8,7.5,220.1,228.6,7.5,52.4,7.5,73.8,312.8,176.8,31.15,191.0,319.0,204.8,488.4,7.5,215.6,319.7,223.2,256.2,256.5,287.0
4,2.0,231.1,521.351,10.0,10.0,327.6,10.0,284.9,10.0,330.1,10.0,193.8,43.95,220.1,294.2,193.0,356.9,10.0,248.2,291.7,199.8,251.1,198.8,379.6,191.7,250.8,153.5,176.5,168.3,203.7,195.1,54.48,209.5,307.1,60.85,288.5,225.3,299.4,28.37,502.1,172.2,294.5,205.4,438.4,217.8,333.8,207.9,10.0,220.0,228.5,10.0,52.32,10.0,73.56,312.8,176.7,31.01,191.0,318.9,205.0,488.4,10.0,215.6,319.8,223.2,256.2,256.5,287.1
5,2.5,231.0,521.345,12.5,12.5,327.5,12.5,285.3,12.5,330.0,12.5,193.7,44.16,220.2,294.1,193.1,357.3,12.5,248.1,292.1,199.8,251.3,198.8,379.7,191.9,251.0,153.5,176.8,168.4,203.8,195.4,54.79,209.6,307.2,61.2,288.6,225.6,299.7,28.57,502.1,172.5,294.4,205.4,438.4,218.0,333.8,207.8,12.5,220.0,228.5,12.5,52.41,12.5,73.49,312.7,176.6,30.99,191.1,318.7,204.8,488.4,12.5,215.5,319.6,223.2,256.1,256.4,287.0
6,3.0,231.2,521.3389,15.0,15.0,327.7,15.0,285.5,15.0,330.1,15.0,193.9,44.27,220.4,294.4,193.1,357.2,15.0,248.2,292.0,199.8,251.3,198.7,379.7,191.7,250.8,153.6,176.6,168.4,203.7,195.3,54.58,209.5,307.1,61.02,288.5,225.4,299.5,28.43,502.0,172.3,294.4,205.4,438.4,218.1,333.8,207.7,15.0,219.9,228.7,15.0,52.42,15.0,73.57,312.7,176.7,31.03,191.3,318.9,204.9,488.5,15.0,215.7,319.9,223.3,256.3,256.1,287.3
7,3.5,231.1,521.3328,17.5,17.5,327.5,17.5,285.4,17.5,330.1,17.5,193.9,44.2,220.4,294.2,193.2,357.2,17.5,248.3,292.0,199.7,251.2,198.9,379.5,191.8,250.9,153.5,176.6,168.4,203.6,195.3,54.56,209.5,307.1,60.93,288.4,225.3,299.5,28.41,502.1,172.2,294.5,205.4,438.3,218.0,333.8,207.8,17.5,219.9,228.5,17.5,52.39,17.5,73.16,312.7,176.6,30.9,191.2,318.8,204.9,488.4,17.5,215.6,319.7,223.2,256.3,256.2,287.2
8,4.0,230.9,521.3268,20.0,20.0,327.7,20.0,285.4,20.0,330.0,20.0,193.8,44.19,220.4,294.1,193.3,357.2,20.0,248.0,291.8,199.5,251.1,198.8,379.7,191.8,250.8,153.5,176.5,168.3,203.6,195.3,54.7,209.6,307.2,61.0,288.6,225.7,299.5,28.38,502.1,172.3,294.6,205.5,438.5,218.0,333.8,207.9,20.0,220.0,228.7,20.0,52.31,20.0,73.37,312.8,176.6,31.14,191.2,319.0,205.0,488.5,20.0,215.6,319.7,223.2,256.2,256.3,287.1
9,4.5,230.9,521.3207,22.5,22.5,327.5,22.5,285.1,22.5,330.0,22.5,193.8,44.0,220.8,294.1,193.2,357.2,22.5,248.0,291.6,199.5,251.1,198.9,379.7,191.9,250.9,153.5,176.5,168.3,203.8,195.3,54.72,209.7,307.2,61.16,288.5,225.8,299.6,28.42,502.2,172.4,294.5,205.5,438.5,218.0,333.9,207.9,22.5,220.0,228.8,22.5,52.35,22.5,73.08,312.7,176.7,31.08,191.3,318.9,204.8,488.5,22.5,215.5,319.6,223.1,256.1,256.6,287.3
10,5.0,231.2,521.3142,24.5,24.5,327.6,24.5,285.2,24.5,330.1,24.5,194.0,44.04,220.6,294.3,193.3,357.3,24.5,247.5,291.8,199.9,251.2,198.8,379.6,191.8,250.8,153.7,176.6,168.4,203.6,195.3,54.76,209.7,307.2,61.09,288.6,225.7,299.5,28.31,502.1,172.4,294.4,205.5,438.5,217.9,334.0,207.9,24.5,220.0,228.8,24.5,52.44,24.5,73.12,312.8,176.6,30.98,191.1,318.9,205.0,488.4,24.5,215.8,319.9,223.1,256.2,256.6,287.2
11,5.5,231.1,,,,327.4,,285.1,,330.0,,193.7,43.9,220.5,294.1,193.2,357.3,,247.2,291.7,199.9,251.2,198.9,379.6,191.8,250.9,153.7,176.5,168.3,203.6,195.3,54.73,209.7,307.2,61.18,288.6,225.8,299.7,28.36,502.1,172.4,294.6,205.5,438.4,217.8,333.9,207.9,,220.0,228.7,,52.44,,73.11,312.7,176.7,31.05,191.2,318.9,204.8,488.3,,215.7,319.6,223.0,256.1,256.6,287.1
12,6.0,231.1,,,,327.5,,284.8,,330.0,,193.8,43.93,220.5,294.2,193.1,357.0,,247.8,291.6,199.7,251.2,198.8,379.6,191.9,250.9,153.5,176.3,168.3,203.6,195.3,54.57,209.7,307.1,60.97,288.4,225.5,299.5,28.34,502.0,172.2,294.5,205.5,438.4,217.6,333.8,207.9,,219.9,228.8,,52.35,,73.13,312.8,176.7,31.03,191.2,318.9,204.9,488.3,,215.7,319.7,223.1,256.1,256.5,286.9
13,6.5,231.2,,,,327.6,,284.6,,330.1,,193.8,44.12,220.3,294.4,193.0,357.0,,248.5,291.8,199.7,251.2,198.9,379.6,191.9,250.8,153.5,176.5,168.3,203.7,195.3,54.66,209.5,307.2,61.01,288.4,225.4,299.5,28.35,502.1,172.4,294.5,205.5,438.4,217.6,333.8,207.8,,219.9,228.9,,52.3,,72.99,312.8,176.6,31.0,191.0,318.9,205.0,488.5,,216.0,319.9,223.3,256.3,256.8,287.3
