,Instrument_Time,TS-1101,R5_Time,httemp-130001401,TS-1102,tempg-164140000
0,0.0,464.2,521.3717,0.0,304.2,0.0
1,0.5,464.1,521.3675,2.5,304.3,2.5
2,1.0,464.0,521.3624,5.0,304.2,5.0
3,1.5,464.0,521.357,7.5,304.4,7.5
4,2.0,463.9,521.351,10.0,304.2,10.0
5,2.5,464.1,521.345,12.5,304.3,12.5
6,3.0,464.1,521.3389,15.0,304.2,15.0
7,3.5,464.1,521.3328,17.5,304.2,17.5
8,4.0,464.1,521.3268,20.0,304.2,20.0
9,4.5,464.1,521.3207,22.5,304.1,22.5
10,5.0,464.3,521.3142,24.5,304.4,24.5
11,5.5,464.1,,,304.4,
12,6.0,464.0,,,304.3,
13,6.5,464.0,,,304.3,
14,7.0,464.0,,,304.2,
15,7.5,464.1,,,304.2,
16,8.0,464.1,,,304.2,
17,8.5,464.1,,,304.2,
18,9.0,464.1,,,304.3,
19,9.5,464.2,,,304.3,
20,10.0,464.1,,,304.3,
21,10.5,464.0,,,304.2,
22,11.0,464.1,,,304.2,
23,11.5,464.1,,,304.2,
24,12.0,464.1,,,304.2,
25,12.5,464.2,,,304.3,
26,13.0,464.2,,,304.4,
27,13.5,464.1,,,304.2,
28,14.0,464.0,,,304.1,
29,14.5,464.1,,,304.4,
30,15.0,464.0,,,304.2,
31,15.5,464.2,,,304.2,
32,16.0,464.2,,,304.2,
33,16.5,464.2,,,304.2,
34,17.0,464.1,,,304.2,
35,17.5,463.9,,,304.3,
36,18.0,464.1,,,304.4,
37,18.5,464.1,,,304.2,
38,19.0,464.2,,,304.3,
39,19.5,464.1,,,304.2,
40,20.0,464.0,,,304.1,
41,20.5,464.1,,,304.2,
42,21.0,464.2,,,304.3,
43,21.5,464.0,,,304.3,
44,22.0,464.0,,,304.3,
45,22.5,464.0,,,304.2,
46,23.0,464.0,,,304.1,
47,23.5,464.1,,,304.2,
48,24.0,464.1,,,304.3,
49,24.5,464.2,,,304.3,
