,Instrument_Time,TS-2501,R5_Time,htvat-1660015,TS-2502
0,0.0,288.2,422.7693,0.0,136.4
1,0.5,288.2,422.7781,2.5,136.5
2,1.0,288.3,422.7868,5.0,136.4
3,1.5,288.3,422.7956,7.5,136.5
4,2.0,288.2,422.8044,10.0,136.5
5,2.5,288.4,422.8132,12.5,136.6
6,3.0,288.2,422.822,15.0,136.5
7,3.5,288.2,422.8307,17.5,136.6
8,4.0,288.1,422.8395,20.0,136.6
9,4.5,288.0,422.8483,22.5,136.4
10,5.0,288.3,422.856,24.5,136.5
11,5.5,288.4,,,136.6
12,6.0,288.2,,,136.4
13,6.5,288.4,,,136.5
14,7.0,288.3,,,136.4
15,7.5,288.3,,,136.5
16,8.0,288.0,,,136.5
17,8.5,288.2,,,136.4
18,9.0,288.1,,,136.3
19,9.5,288.3,,,136.5
20,10.0,288.3,,,136.4
21,10.5,288.3,,,136.4
22,11.0,288.3,,,136.4
23,11.5,288.3,,,136.5
24,12.0,288.2,,,136.5
25,12.5,288.2,,,136.5
26,13.0,288.2,,,136.6
27,13.5,288.3,,,136.5
28,14.0,288.2,,,136.3
29,14.5,288.4,,,136.5
30,15.0,288.4,,,136.5
31,15.5,288.3,,,136.6
32,16.0,288.2,,,136.6
33,16.5,288.0,,,136.6
34,17.0,288.2,,,136.5
35,17.5,288.3,,,136.4
36,18.0,288.6,,,136.6
37,18.5,288.4,,,136.6
38,19.0,288.3,,,136.5
39,19.5,288.2,,,136.6
40,20.0,288.2,,,136.3
41,20.5,288.4,,,136.3
42,21.0,288.4,,,136.4
43,21.5,288.4,,,136.4
44,22.0,288.6,,,136.4
45,22.5,288.6,,,136.5
46,23.0,288.5,,,136.4
47,23.5,288.5,,,136.5
48,24.0,288.5,,,136.5
49,24.5,288.5,,,136.4
