,Instrument_Time,TS-7105,R5_Time,httemp-115001405,TS-7102,httemp-115000705,TS-7103,httemp-115000905,TS-7104,httemp-115001105,TS-7101,httemp-115000405
0,0.0,127.7,422.7693,0.0,191.4,0.0,195.0,0.0,165.7,0.0,123.0,0.0
1,0.5,127.7,422.7781,2.5,191.4,2.5,194.8,2.5,165.8,2.5,122.9,2.5
2,1.0,127.7,422.7868,5.0,191.3,5.0,194.9,5.0,165.6,5.0,122.9,5.0
3,1.5,127.8,422.7956,7.5,191.5,7.5,194.9,7.5,165.6,7.5,123.0,7.5
4,2.0,127.7,422.8044,10.0,191.5,10.0,195.1,10.0,165.6,10.0,123.1,10.0
5,2.5,127.5,422.8132,12.5,191.5,12.5,195.0,12.5,165.5,12.5,123.1,12.5
6,3.0,127.6,422.822,15.0,191.7,15.0,195.0,15.0,165.6,15.0,123.1,15.0
7,3.5,127.8,422.8307,17.5,191.5,17.5,195.0,17.5,165.6,17.5,123.0,17.5
8,4.0,127.8,422.8395,20.0,191.5,20.0,195.0,20.0,165.7,20.0,123.1,20.0
9,4.5,127.8,422.8483,22.5,191.5,22.5,195.1,22.5,165.7,22.5,123.2,22.5
10,5.0,127.7,422.856,24.5,191.4,24.5,195.0,24.5,165.6,24.5,123.0,24.5
11,5.5,127.8,,,191.4,,195.1,,165.8,,123.1,
12,6.0,127.7,,,191.3,,194.9,,165.8,,123.0,
13,6.5,127.8,,,191.5,,194.9,,165.8,,123.1,
14,7.0,127.8,,,191.5,,195.0,,165.7,,123.0,
15,7.5,128.0,,,191.4,,194.8,,165.8,,122.9,
16,8.0,127.6,,,191.5,,194.8,,165.8,,123.0,
17,8.5,127.8,,,191.6,,194.8,,165.9,,123.1,
18,9.0,127.9,,,191.7,,194.9,,165.7,,123.1,
19,9.5,127.9,,,191.7,,195.0,,165.6,,123.3,
20,10.0,127.7,,,191.7,,195.0,,165.7,,123.3,
21,10.5,128.0,,,191.6,,195.0,,165.8,,123.0,
22,11.0,128.0,,,191.4,,194.9,,165.9,,123.0,
23,11.5,127.9,,,191.6,,195.0,,165.9,,123.1,
24,12.0,127.7,,,191.6,,194.9,,165.7,,123.2,
25,12.5,127.9,,,191.6,,195.0,,165.9,,123.2,
26,13.0,127.9,,,191.5,,195.0,,165.6,,123.1,
27,13.5,127.9,,,191.3,,194.8,,165.7,,122.9,
28,14.0,127.9,,,191.5,,194.8,,165.9,,123.0,
29,14.5,127.9,,,191.6,,195.0,,165.8,,123.0,
30,15.0,127.9,,,191.6,,194.8,,165.8,,122.9,
31,15.5,128.0,,,191.7,,195.0,,165.7,,123.0,
32,16.0,128.0,,,191.5,,194.8,,165.8,,122.9,
33,16.5,127.8,,,191.8,,194.9,,165.7,,123.0,
34,17.0,127.8,,,191.8,,195.0,,165.7,,123.1,
35,17.5,127.9,,,191.7,,194.8,,165.8,,123.0,
36,18.0,127.8,,,191.7,,194.8,,165.7,,122.8,
37,18.5,128.0,,,191.6,,194.8,,165.6,,122.9,
38,19.0,127.9,,,191.6,,194.9,,165.7,,123.0,
39,19.5,128.0,,,191.6,,194.9,,165.6,,123.0,
40,20.0,128.0,,,191.5,,194.9,,165.7,,123.1,
41,20.5,127.7,,,191.7,,195.1,,165.5,,123.1,
42,21.0,127.7,,,191.6,,194.9,,165.5,,123.0,
43,21.5,127.9,,,191.6,,195.0,,165.6,,123.0,
44,22.0,127.9,,,191.6,,194.9,,165.7,,123.2,
45,22.5,127.9,,,191.4,,194.8,,165.8,,122.9,
46,23.0,127.9,,,191.5,,194.9,,165.6,,123.1,
47,23.5,127.9,,,191.6,,194.9,,165.6,,123.0,
48,24.0,127.8,,,191.5,,194.9,,165.7,,123.0,
49,24.5,127.8,,,191.4,,194.8,,165.7,,122.9,
