,Instrument_Time,TS-7405,R5_Time,httemp-100001406,TS-7402,httemp-100000706,TS-7403,httemp-100000906,TS-7404,httemp-100001106,TS-7401,httemp-100000406
0,0.0,91.44,422.7693,0.0,88.19,0.0,105.1,0.0,103.5,0.0,37.34,0.0
1,0.5,91.38,422.7781,2.5,88.13,2.5,105.2,2.5,103.7,2.5,37.84,2.5
2,1.0,91.45,422.7868,5.0,88.05,5.0,105.1,5.0,103.4,5.0,37.95,5.0
3,1.5,91.46,422.7956,7.5,88.03,7.5,105.2,7.5,103.6,7.5,37.8,7.5
4,2.0,91.45,422.8044,10.0,88.11,10.0,105.2,10.0,103.7,10.0,38.01,10.0
5,2.5,91.48,422.8132,12.5,88.2,12.5,105.2,12.5,103.6,12.5,38.23,12.5
6,3.0,91.47,422.822,15.0,88.27,15.0,105.3,15.0,103.7,15.0,38.38,15.0
7,3.5,91.45,422.8307,17.5,88.13,17.5,105.1,17.5,103.6,17.5,37.73,17.5
8,4.0,91.33,422.8395,20.0,88.11,20.0,105.2,20.0,103.7,20.0,38.58,20.0
9,4.5,91.63,422.8483,22.5,88.21,22.5,105.1,22.5,103.7,22.5,38.62,22.5
10,5.0,91.46,422.856,24.5,88.13,24.5,105.2,24.5,103.6,24.5,38.19,24.5
11,5.5,91.48,,,88.12,,105.1,,103.7,,38.37,
12,6.0,91.45,,,87.93,,105.0,,103.4,,38.11,
13,6.5,91.5,,,88.11,,105.1,,103.5,,38.39,
14,7.0,91.33,,,88.19,,105.2,,103.6,,37.94,
15,7.5,91.28,,,88.13,,105.1,,103.6,,38.74,
16,8.0,91.43,,,88.2,,105.1,,103.5,,37.9,
17,8.5,91.39,,,88.21,,105.2,,103.7,,38.0,
18,9.0,91.35,,,88.26,,105.2,,103.8,,37.92,
19,9.5,91.47,,,88.2,,105.2,,103.6,,38.34,
20,10.0,91.39,,,88.22,,105.2,,103.8,,38.03,
21,10.5,91.35,,,88.29,,105.1,,103.6,,37.97,
22,11.0,91.19,,,88.18,,105.2,,103.7,,38.5,
23,11.5,91.28,,,88.42,,105.3,,103.9,,38.05,
24,12.0,91.35,,,88.09,,105.2,,103.7,,38.16,
25,12.5,91.34,,,88.24,,105.1,,103.6,,38.12,
26,13.0,91.37,,,88.18,,105.2,,103.7,,38.41,
27,13.5,91.19,,,88.11,,105.1,,103.5,,38.23,
28,14.0,91.29,,,88.1,,105.1,,103.6,,38.51,
29,14.5,91.25,,,88.32,,105.2,,103.6,,39.0,
30,15.0,91.23,,,88.19,,105.2,,103.7,,38.49,
31,15.5,91.33,,,88.3,,105.2,,103.7,,38.65,
32,16.0,91.29,,,88.23,,105.2,,103.6,,38.87,
33,16.5,91.38,,,88.26,,105.2,,103.7,,38.43,
34,17.0,91.45,,,88.24,,105.3,,103.8,,38.37,
35,17.5,91.21,,,88.07,,105.1,,103.5,,38.43,
36,18.0,91.2,,,87.9,,104.9,,103.6,,38.22,
37,18.5,91.23,,,88.04,,105.1,,103.6,,37.61,
38,19.0,91.25,,,88.2,,105.3,,103.7,,38.55,
39,19.5,91.23,,,88.24,,105.2,,103.7,,38.41,
40,20.0,91.41,,,88.36,,105.3,,103.8,,38.19,
41,20.5,91.39,,,88.29,,105.2,,103.7,,38.0,
42,21.0,91.2,,,88.08,,105.1,,103.6,,38.28,
43,21.5,91.36,,,88.26,,105.4,,103.7,,38.59,
44,22.0,91.36,,,88.31,,105.3,,103.8,,38.22,
45,22.5,91.23,,,88.11,,105.1,,103.4,,38.51,
46,23.0,91.43,,,88.21,,105.2,,103.8,,38.5,
47,23.5,91.43,,,88.29,,105.3,,103.8,,38.48,
48,24.0,91.36,,,88.0,,105.1,,103.7,,38.34,
49,24.5,91.1,,,87.98,,105.1,,103.5,,39.33,
