,Instrument_Time,TF-3101,R5_Time,tempg-206070000,TF-3102,tempg-200010000,TF-3103,TF-3201,tempg-206010000,TF-3202,tempg-200070000,TF-3203
0,0.0,37.49,501.6963,0.0,205.1,0.0,158.3,27.56,0.0,28.8,0.0,31.2
1,0.5,37.45,501.6905,2.5,205.1,2.5,158.2,27.61,2.5,28.82,2.5,31.21
2,1.0,37.42,501.6915,5.0,205.1,5.0,158.2,27.34,5.0,28.64,5.0,30.95
3,1.5,37.46,501.6905,7.5,205.1,7.5,158.1,27.43,7.5,28.7,7.5,31.18
4,2.0,37.53,501.6881,10.0,205.1,10.0,158.1,27.46,10.0,28.77,10.0,31.05
5,2.5,37.42,501.685,12.5,204.9,12.5,157.9,27.46,12.5,28.77,12.5,31.18
6,3.0,37.48,501.6816,15.0,205.2,15.0,158.1,27.4,15.0,28.74,15.0,31.13
7,3.5,37.51,501.6781,17.5,205.2,17.5,158.3,27.45,17.5,28.77,17.5,31.2
8,4.0,37.54,501.6746,20.0,205.2,20.0,158.2,27.51,20.0,28.79,20.0,31.12
9,4.5,37.66,501.6711,22.5,205.3,22.5,158.3,27.44,22.5,28.73,22.5,31.09
10,5.0,37.52,501.666,24.5,205.1,24.5,158.1,27.51,24.5,28.75,24.5,31.1
11,5.5,37.55,,,205.1,,158.0,27.38,,28.78,,31.07
12,6.0,37.41,,,205.1,,157.9,27.44,,28.82,,31.15
13,6.5,37.67,,,205.4,,157.9,27.43,,28.77,,31.09
14,7.0,37.48,,,205.2,,157.6,27.44,,28.69,,31.1
15,7.5,37.49,,,205.2,,157.5,27.59,,28.83,,31.29
16,8.0,37.36,,,205.0,,157.6,27.62,,28.87,,31.25
17,8.5,37.53,,,205.2,,157.8,27.47,,28.76,,31.13
18,9.0,37.43,,,205.2,,157.9,27.56,,28.68,,31.12
19,9.5,37.59,,,205.1,,158.0,27.42,,28.72,,31.17
20,10.0,37.34,,,205.2,,157.8,27.55,,28.74,,31.21
21,10.5,37.58,,,205.3,,158.0,27.58,,28.73,,31.21
22,11.0,37.49,,,205.1,,157.9,27.59,,28.77,,31.19
23,11.5,37.52,,,205.2,,158.0,27.55,,28.79,,31.17
24,12.0,37.3,,,205.1,,157.7,27.56,,28.89,,31.14
25,12.5,37.56,,,205.5,,157.9,27.65,,28.86,,31.36
26,13.0,37.57,,,205.3,,157.9,27.49,,28.84,,31.26
27,13.5,37.56,,,205.3,,157.9,27.59,,28.75,,31.18
28,14.0,37.44,,,205.3,,158.0,27.39,,28.66,,31.08
29,14.5,37.45,,,205.3,,158.2,27.56,,28.88,,31.22
30,15.0,37.51,,,205.4,,158.0,27.71,,28.87,,31.18
31,15.5,37.68,,,205.3,,158.0,27.41,,28.75,,31.17
32,16.0,37.55,,,205.2,,157.9,27.44,,28.69,,30.99
33,16.5,37.33,,,205.0,,158.0,27.5,,28.7,,31.13
34,17.0,37.35,,,205.0,,158.1,27.61,,28.81,,31.21
35,17.5,37.47,,,205.1,,158.3,27.44,,28.74,,31.0
36,18.0,37.47,,,205.1,,158.1,27.42,,28.74,,31.18
37,18.5,37.61,,,205.3,,158.0,27.53,,28.79,,31.08
38,19.0,37.47,,,205.1,,158.0,27.55,,28.85,,31.12
39,19.5,37.52,,,205.3,,158.1,27.74,,28.79,,31.11
40,20.0,37.5,,,205.0,,158.2,27.68,,28.77,,31.23
41,20.5,37.39,,,205.0,,158.1,27.57,,28.74,,31.35
42,21.0,37.55,,,205.2,,158.0,27.51,,28.76,,31.24
43,21.5,37.57,,,205.3,,158.0,27.41,,28.72,,31.08
44,22.0,37.55,,,205.1,,158.0,27.41,,28.79,,31.06
45,22.5,37.54,,,205.1,,157.8,27.49,,28.72,,31.11
46,23.0,37.51,,,205.1,,157.8,27.52,,28.69,,31.11
47,23.5,37.61,,,205.1,,157.7,27.57,,28.69,,31.03
48,24.0,37.53,,,205.0,,157.6,27.46,,28.73,,31.12
49,24.5,37.46,,,205.3,,157.8,27.48,,28.72,,31.19
