,Instrument_Time,TF-9102,R5_Time,tempg-900010000,TF-9202,TF-9302,TF-9402,TF-9101,TF-9201,TF-9301,TF-9401,TF-9103,tempf-945010000,TF-9104,tempf-950190000,TF-9105,TF-9106,TF-9203,TF-9204,TF-9205,TF-9206,TF-9303,TF-9304,TF-9305,TF-9306,TF-9403,TF-9404,TF-9405,TF-9406
0,0.0,30.01,501.6963,0.0,29.74,30.3,30.58,47.67,47.74,48.2,49.37,36.03,0.0,37.04,0.0,36.13,36.68,36.0,36.35,35.99,36.51,35.91,35.56,36.11,35.39,36.1,35.44,36.08,36.23
1,0.5,29.94,501.6905,2.5,29.76,30.41,30.62,47.83,47.91,48.42,49.61,35.93,2.5,37.11,2.5,35.92,36.58,35.92,36.33,35.87,36.51,35.95,35.71,35.83,35.54,36.02,35.54,35.92,36.45
2,1.0,29.82,501.6915,5.0,29.79,30.35,30.65,47.73,47.87,48.24,49.62,36.19,5.0,37.09,5.0,35.94,36.78,36.04,36.5,35.91,36.57,36.02,35.69,35.97,35.47,36.13,35.51,36.04,36.37
3,1.5,30.04,501.6905,7.5,29.78,30.4,30.63,47.72,47.77,48.37,49.58,36.0,7.5,37.18,7.5,35.97,36.47,35.9,36.22,36.02,36.47,35.9,35.52,35.88,35.34,36.0,35.43,36.02,36.33
4,2.0,30.01,501.6881,10.0,29.79,30.43,30.72,47.66,47.81,48.24,49.57,36.12,10.0,37.0,10.0,35.92,36.61,36.09,36.35,35.93,36.54,36.08,35.73,36.04,35.44,36.21,35.51,36.0,36.21
5,2.5,29.85,501.685,12.5,29.74,30.39,30.54,47.78,47.74,48.32,49.53,35.91,12.5,37.17,12.5,35.93,36.66,35.94,36.39,35.97,36.6,35.92,35.68,35.94,35.49,36.08,35.56,36.02,36.37
6,3.0,29.92,501.6816,15.0,29.76,30.32,30.46,47.71,47.83,48.3,49.48,35.96,15.0,37.08,15.0,35.86,36.45,35.8,36.34,35.86,36.48,35.82,35.65,35.79,35.45,35.99,35.57,35.78,36.33
7,3.5,30.08,501.6781,17.5,29.75,30.47,30.71,47.69,47.84,48.23,49.56,36.17,17.5,37.13,17.5,35.93,36.65,36.03,36.39,35.97,36.59,36.11,35.63,35.94,35.47,36.14,35.51,35.95,36.37
8,4.0,29.83,501.6746,20.0,29.53,30.27,30.48,47.72,47.66,48.34,49.52,35.91,20.0,37.13,20.0,35.92,36.54,35.96,36.31,35.8,36.58,35.94,35.7,35.99,35.4,36.04,35.5,35.88,36.49
9,4.5,29.91,501.6711,22.5,29.73,30.36,30.67,47.77,47.87,48.37,49.66,35.87,22.5,37.15,22.5,35.97,36.71,35.78,36.51,35.87,36.61,35.83,35.71,35.99,35.66,36.02,35.55,35.97,36.4
10,5.0,29.97,501.666,24.5,29.8,30.39,30.68,47.87,47.81,48.23,49.66,35.95,24.5,37.29,24.5,35.92,36.7,35.9,36.6,35.86,36.52,35.86,35.82,35.86,35.45,36.06,35.53,36.04,36.42
