,Instrument_Time,TF-4401,R5_Time,tempg-280020000,TF-4101,tempg-280010000,TF-4301
0,0.0,32.62,501.6963,0.0,30.91,0.0,32.86
1,0.5,32.55,501.6905,2.5,30.93,2.5,32.85
2,1.0,32.51,501.6915,5.0,30.82,5.0,32.77
3,1.5,32.48,501.6905,7.5,30.83,7.5,32.84
4,2.0,32.48,501.6881,10.0,30.8,10.0,32.85
5,2.5,32.62,501.685,12.5,30.79,12.5,32.86
6,3.0,32.47,501.6816,15.0,30.66,15.0,32.82
7,3.5,32.51,501.6781,17.5,30.87,17.5,32.83
8,4.0,32.56,501.6746,20.0,30.76,20.0,32.82
9,4.5,32.53,501.6711,22.5,30.79,22.5,32.7
10,5.0,32.62,501.666,24.5,30.87,24.5,32.97
11,5.5,32.47,,,30.9,,32.86
12,6.0,32.63,,,30.87,,32.98
13,6.5,32.55,,,30.74,,32.88
14,7.0,32.52,,,30.9,,32.87
15,7.5,32.75,,,30.86,,32.98
16,8.0,32.72,,,31.02,,32.97
17,8.5,32.49,,,30.87,,32.86
18,9.0,32.55,,,30.73,,32.75
19,9.5,32.64,,,30.89,,32.84
20,10.0,32.52,,,30.9,,32.95
21,10.5,32.58,,,30.93,,32.76
22,11.0,32.58,,,30.91,,32.92
23,11.5,32.65,,,30.91,,32.93
24,12.0,32.54,,,30.8,,32.79
25,12.5,32.67,,,30.98,,33.0
26,13.0,32.63,,,30.84,,32.9
27,13.5,32.54,,,30.8,,32.95
28,14.0,32.59,,,30.75,,32.81
29,14.5,32.53,,,30.9,,32.88
30,15.0,32.71,,,30.86,,32.93
31,15.5,32.52,,,30.82,,32.83
32,16.0,32.57,,,30.82,,32.7
33,16.5,32.5,,,30.73,,32.75
34,17.0,32.56,,,30.75,,32.89
35,17.5,32.57,,,30.83,,32.9
36,18.0,32.52,,,30.81,,32.79
37,18.5,32.59,,,30.79,,32.92
38,19.0,32.63,,,30.89,,32.88
39,19.5,32.58,,,30.81,,32.95
40,20.0,32.63,,,30.9,,32.96
41,20.5,32.71,,,30.88,,32.92
42,21.0,32.56,,,30.8,,33.0
43,21.5,32.57,,,30.84,,32.87
44,22.0,32.53,,,30.79,,32.72
45,22.5,32.69,,,30.79,,32.98
46,23.0,32.57,,,30.75,,32.87
47,23.5,32.58,,,30.78,,32.8
48,24.0,32.5,,,30.7,,32.79
49,24.5,32.56,,,30.76,,32.86
