Instrument,Sector,Angle,Location,Number
TS-1901,Sector#1,0,0.000,1
TS-1902,Sector#1,171.7974,0.180,2
TS-1903,Sector#1,154.3453,0.320,5
TS-1905,Sector#1,185.5919,0.365,7
TS-1907,Sector#1,196.8117,0.475,9
TS-1909,Sector#1,170.9945,0.600,13
TS-1910,Sector#1,180.0331,0.850,18
TS-1911,Sector#1,200.6635,0.275,3
TS-1912,Sector#1,190.9288,0.522,12
TS-1913,Sector#1,189.6157145,0.673,15
TS-1914,Sector#1,180,0.673,16
TS-1915,Sector#1,170.3842855,0.673,17
TS-1916,Sector#2,51.7974,0.180,2
TS-1917,Sector#2,34.3453,0.320,5
TS-1919,Sector#2,65.5919,0.365,7
TS-1921,Sector#2,76.8117,0.475,9
TS-1923,Sector#2,50.9945,0.600,13
TS-1924,Sector#2,60.0331,0.850,18
TS-1925,Sector#2,80.6635,0.275,3
TS-1926,Sector#2,70.9288,0.522,12
TS-1927,Sector#2,69.616,0.673,15
TS-1928,Sector#2,60.000,0.673,16
TS-1929,Sector#2,50.384,0.673,17
