,Instrument_Time,TF-8101,R5_Time,tempg-120010000,TF-8201,TF-8110,TF-8210,TF-8111,TF-8211,TF-8112,TF-8212,TF-8102,TF-8202,TF-8103,TF-8203,TF-8104,TF-8204,TF-8105,TF-8205,TF-8206,TF-8107,TF-8207,TF-8108,TF-8208,TF-8109,TF-8209
0,0.0,50.5,501.6963,0.0,120.0,116.6,118.5,120.5,121.4,122.9,122.1,116.1,119.3,115.8,118.1,192.8,117.4,119.4,50.54,121.8,122.0,122.1,120.8,122.0,120.7,121.4
1,0.5,50.54,501.6905,2.5,120.1,116.6,118.6,120.5,121.5,123.0,122.1,116.2,119.4,115.8,118.2,193.0,117.5,119.4,50.67,121.9,122.1,122.2,121.1,122.2,120.8,121.4
2,1.0,50.54,501.6915,5.0,120.0,116.6,118.7,120.6,121.4,123.0,122.2,116.1,119.3,115.7,118.0,192.8,117.4,119.5,50.68,121.8,122.1,122.1,120.9,122.0,120.8,121.5
3,1.5,50.55,501.6905,7.5,120.1,116.6,118.6,120.6,121.4,123.1,122.2,116.1,119.4,115.7,118.1,193.0,117.4,119.3,50.72,121.8,122.2,122.2,121.0,122.0,120.8,121.3
4,2.0,50.58,501.6881,10.0,120.1,116.7,118.7,120.6,121.6,123.1,122.3,116.2,119.4,115.8,118.2,193.1,117.5,119.4,50.65,121.8,122.1,122.3,121.0,122.1,120.8,121.4
5,2.5,50.64,501.685,12.5,120.1,116.6,118.8,120.5,121.5,123.1,122.3,116.2,119.4,115.8,118.1,193.1,117.4,119.3,50.72,121.9,122.1,122.2,120.9,122.0,120.8,121.4
6,3.0,50.59,501.6816,15.0,120.1,116.6,118.7,120.5,121.4,122.9,122.1,116.1,119.3,115.7,118.1,193.1,117.5,119.3,50.69,121.8,122.0,122.2,121.0,122.0,120.7,121.4
7,3.5,50.63,501.6781,17.5,120.2,116.7,118.7,120.5,121.4,123.1,122.2,116.3,119.5,115.9,118.2,193.0,117.5,119.4,50.87,121.9,122.1,122.2,121.0,122.0,120.7,121.4
8,4.0,50.52,501.6746,20.0,120.1,116.5,118.7,120.5,121.5,123.0,122.1,116.2,119.4,115.8,118.2,193.1,117.5,119.3,50.68,121.9,122.0,122.1,120.9,121.9,120.8,121.3
9,4.5,50.52,501.6711,22.5,120.1,116.7,118.7,120.4,121.4,123.0,122.1,116.1,119.2,115.7,118.2,193.0,117.4,119.2,50.65,121.7,121.9,122.1,120.9,121.9,120.8,121.4
10,5.0,50.69,501.666,24.5,120.2,116.7,118.6,120.5,121.4,123.2,122.1,116.2,119.4,115.8,118.3,193.0,117.5,119.4,50.76,121.9,122.0,122.2,121.1,122.0,120.9,121.4
11,5.5,50.41,,,119.9,116.6,118.7,120.5,121.3,123.1,122.2,116.1,119.3,115.6,118.2,193.1,117.3,119.3,50.58,121.8,121.9,122.1,120.9,121.9,120.8,121.4
12,6.0,50.53,,,120.1,116.6,118.7,120.4,121.5,123.2,122.2,116.2,119.4,115.8,118.2,193.1,117.5,119.4,50.65,121.8,122.0,122.2,120.9,122.1,120.8,121.3
13,6.5,50.56,,,120.0,116.6,118.7,120.5,121.3,123.1,122.2,116.2,119.3,115.8,118.2,193.2,117.4,119.4,50.61,121.8,121.9,122.1,120.9,122.0,120.8,121.4
14,7.0,50.62,,,120.0,116.6,118.7,120.5,121.4,123.2,122.1,116.2,119.5,115.8,118.2,193.1,117.4,119.4,50.65,121.9,122.0,122.2,120.9,122.0,120.8,121.3
15,7.5,50.7,,,120.0,116.6,118.8,120.6,121.5,123.3,122.3,116.2,119.5,115.9,118.2,193.2,117.5,119.5,50.64,121.9,122.1,122.3,121.0,122.1,120.8,121.4
16,8.0,50.48,,,119.9,116.6,118.7,120.6,121.4,123.2,122.2,116.0,119.2,115.8,118.1,193.0,117.3,119.4,50.5,121.8,122.0,122.2,120.9,121.9,120.8,121.3
17,8.5,50.67,,,120.0,116.4,118.6,120.4,121.3,123.1,122.2,116.3,119.4,115.9,118.2,193.1,117.6,119.5,50.66,121.9,122.1,122.3,121.0,122.1,120.8,121.2
18,9.0,50.55,,,120.0,116.5,118.5,120.5,121.4,123.1,122.2,116.1,119.3,115.9,118.2,193.2,117.4,119.4,50.61,121.9,122.1,122.2,121.0,122.0,120.8,121.4
