Tag_Number,Instrument,Axial_Location,Radial_Azimuthal_Location,RELAP5_Model_Parameters,,,,,Total_Uncertainty,,Lower,Units
TS-1101,Thermocouple,Lower Reflector #1,"Primary Sector, #1",httemp-130001401,,,,,,,,
TS-1102,Thermocouple,Lower Reflector #1,"Primary Sector, #16",tempg-164140000,,,,,,,,
,,,,,,,,,,,,
TS-1103,Thermocouple,Lower Reflector #3,"Primary Sector, #1","httemp-130001201, httemp-130001301",,,,,,,,
TS-1104,Thermocouple,Lower Reflector #3,"Primary Sector, #18","htvat-1660012, htvat-1660013",,,,,,,,
TS-1105,Thermocouple,Lower Reflector #3,"Primary Sector, #17","tempg-164120000, tempg-164130000",,,,,,,,
TS-1106,Thermocouple,Lower Reflector #3,"Secondary Sector, #18","htvat-1660012, htvat-1660013",,,,,,,,
,,,,,,,,,,,,
TS-1107,Thermocouple,Core Block #1,"Primary Sector, #1","httemp-130001101, httemp-130001201",,,,,,,,
TS-1108,Thermocouple,Core Block #1,"Primary Sector, #2","httemp-134001101, httemp-134001201, htvat-1340011, htvat-1340012",,,,,,,,
TS-1109,Thermocouple,Core Block #1,"Primary Sector, #5","htvat-1401009, htvat-1401010",,,,,,,,
TF-1110,Thermocouple,Core Block #1,"Primary Sector, #6","tempg-140110000, tempg-140120000",,,,,,,,
TS-1111,Thermocouple,Core Block #1,"Primary Sector, #7","htvat-1451009, htvat-1451010",,,,,,,,
TF-1112,Thermocouple,Core Block #1,"Primary Sector, #8","tempg-145110000, tempg-145120000",,,,,,,,
TS-1113,Thermocouple,Core Block #1,"Primary Sector, #9","htvat-1501009, htvat-1501010",,,,,,,,
TF-1114,Thermocouple,Core Block #1,"Primary Sector, #10","tempg-150110000, tempg-150120000",,,,,,,,
TS-1115,Thermocouple,Core Block #1,"Primary Sector, #13","httemp-160001101, httemp-160001201, htvat-1600011, htvat-1600012",,,,,,,,
TS-1116,Thermocouple,Core Block #1,"Primary Sector, #3","httemp-140300901, httemp-140301001",,,,,,,,
TS-1117,Thermocouple,Core Block #1,"Primary Sector, #12","httemp-150300901, httemp-150301001",,,,,,,,
TS-1118,Thermocouple,Core Block #1,"Primary Sector, #15","tempg-164110000, tempg-164120000",,,,,,,,
TS-1119,Thermocouple,Core Block #1,"Primary Sector, #16","tempg-164110000, tempg-164120000",,,,,,,,
TS-1120,Thermocouple,Core Block #1,"Primary Sector, #17","tempg-164110000, tempg-164120000",,,,,,,,
TS-1121,Thermocouple,Core Block #1,"Secondary Sector, #2","htvat-1340011, htvat-1340012",,,,,,,,
TS-1122,Thermocouple,Core Block #1,"Secondary Sector, #5","htvat-1401009, htvat-1401010",,,,,,,,
TF-1123,Thermocouple,Core Block #1,"Secondary Sector, #6","tempg-140110000, tempg-140120000",,,,,,,,
TS-1124,Thermocouple,Core Block #1,"Secondary Sector, #7","htvat-1451009, htvat-1451010",,,,,,,,
TF-1125,Thermocouple,Core Block #1,"Secondary Sector, #8","tempg-145110000, tempg-145120000",,,,,,,,
TS-1126,Thermocouple,Core Block #1,"Secondary Sector, #9","htvat-1501009, htvat-1501010",,,,,,,,
TF-1127,Thermocouple,Core Block #1,"Secondary Sector, #10","tempg-150110000, tempg-150120000",,,,,,,,
TS-1128,Thermocouple,Core Block #1,"Secondary Sector, #13","httemp-160001101, httemp-160001201, htvat-1600011, htvat-1600012",,,,,,,,
TS-1129,Thermocouple,Core Block #1,"Secondary Sector, #3","httemp-140300901, httemp-140301001",,,,,,,,
TS-1130,Thermocouple,Core Block #1,"Secondary Sector, #12","httemp-150300901, httemp-150301001",,,,,,,,
TS-1131,Thermocouple,Core Block #1,"Secondary Sector, #15","tempg-164110000, tempg-164120000",,,,,,,,
TS-1132,Thermocouple,Core Block #1,"Secondary Sector, #16","tempg-164110000, tempg-164120000",,,,,,,,
TS-1133,Thermocouple,Core Block #1,"Secondary Sector, #17","tempg-164110000, tempg-164120000",,,,,,,,
,,,,,,,,,,,,
TS-1201,Thermocouple,Core Block #2,"Primary Sector, #1","httemp-130001001, httemp-130001101",,,,,,,,
TS-1202,Thermocouple,Core Block #2,"Primary Sector, #16","tempg-164100000, tempg-164110000",,,,,,,,
,,,,,,,,,,,,
TS-1301,Thermocouple,Core Block #3,"Primary Sector, #1","httemp-130000901, httemp-130001001",,,,,,,,
TS-1302,Thermocouple,Core Block #3,"Primary Sector, #2","httemp-134000901, httemp-134001001, htvat-1340009, htvat-1340010",,,,,,,,
TS-1303,Thermocouple,Core Block #3,"Primary Sector, #5","htvat-1401007, htvat-1401008",,,,,,,,
TF-1304,Thermocouple,Core Block #3,"Primary Sector, #6","tempg-140090000, tempg-140100000",,,,,,,,
TS-1305,Thermocouple,Core Block #3,"Primary Sector, #7","htvat-1451007, htvat-1451008",,,,,,,,
TF-1306,Thermocouple,Core Block #3,"Primary Sector, #8","tempg-145090000, tempg-145100000",,,,,,,,
TS-1307,Thermocouple,Core Block #3,"Primary Sector, #9","htvat-1501007, htvat-1501008",,,,,,,,
TF-1308,Thermocouple,Core Block #3,"Primary Sector, #10","tempg-150090000, tempg-150100000",,,,,,,,
TS-1309,Thermocouple,Core Block #3,"Primary Sector, #13","httemp-160000901, httemp-160001001, htvat-1600009, htvat-1600010",,,,,,,,
TS-1310,Thermocouple,Core Block #3,"Primary Sector, #18","htvat-1660009, htvat-1660010",,,,,,,,
TS-1311,Thermocouple,Core Block #3,"Primary Sector, #3","httemp-140300701, httemp-140300801",,,,,,,,
TS-1312,Thermocouple,Core Block #3,"Primary Sector, #12","httemp-150300701, httemp-150300801",,,,,,,,
TS-1313,Thermocouple,Core Block #3,"Primary Sector, #15","tempg-164090000, tempg-164100000",,,,,,,,
TS-1314,Thermocouple,Core Block #3,"Primary Sector, #16","tempg-164090000, tempg-164100000",,,,,,,,
TS-1315,Thermocouple,Core Block #3,"Primary Sector, #17","tempg-164090000, tempg-164100000",,,,,,,,
TS-1316,Thermocouple,Core Block #3,"Secondary Sector, #2","htvat-1340009, htvat-1340010",,,,,,,,
TS-1317,Thermocouple,Core Block #3,"Secondary Sector, #5","htvat-1401007, htvat-1401008",,,,,,,,
TF-1318,Thermocouple,Core Block #3,"Secondary Sector, #6","tempg-140090000, tempg-140100000",,,,,,,,
TS-1319,Thermocouple,Core Block #3,"Secondary Sector, #7","htvat-1451007, htvat-1451008",,,,,,,,
TF-1320,Thermocouple,Core Block #3,"Secondary Sector, #8","tempg-145090000, tempg-145100000",,,,,,,,
TS-1321,Thermocouple,Core Block #3,"Secondary Sector, #9","htvat-1501007, htvat-1501008",,,,,,,,
TF-1322,Thermocouple,Core Block #3,"Secondary Sector, #10","tempg-150090000, tempg-150100000",,,,,,,,
TS-1323,Thermocouple,Core Block #3,"Secondary Sector, #13","httemp-160000901, httemp-160001001, htvat-1600009, htvat-1600010",,,,,,,,
TS-1324,Thermocouple,Core Block #3,"Secondary Sector, #18","htvat-1660009, htvat-1660010",,,,,,,,
TS-1325,Thermocouple,Core Block #3,"Secondary Sector, #3","httemp-140300701, httemp-140300801",,,,,,,,
TS-1326,Thermocouple,Core Block #3,"Secondary Sector, #12","httemp-150300701, httemp-150300801",,,,,,,,
TS-1327,Thermocouple,Core Block #3,"Secondary Sector, #15","tempg-164090000, tempg-164100000",,,,,,,,
TS-1328,Thermocouple,Core Block #3,"Secondary Sector, #16","tempg-164090000, tempg-164100000",,,,,,,,
TS-1329,Thermocouple,Core Block #3,"Secondary Sector, #17","tempg-164090000, tempg-164100000",,,,,,,,
TS-1330,Thermocouple,Core Block #3,"Tertiary Sector, #2","httemp-132000906, httemp-132001006, htvat-1320009, htvat-1320010",,,,,,,,
TS-1331,Thermocouple,Core Block #3,"Tertiary Sector, #5","htvat-1401007, htvat-1401008",,,,,,,,
TF-1332,Thermocouple,Core Block #3,"Tertiary Sector, #6","tempg-140090000, tempg-140100000",,,,,,,,
TS-1333,Thermocouple,Core Block #3,"Tertiary Sector, #7","htvat-1451007, htvat-1451008",,,,,,,,
TF-1334,Thermocouple,Core Block #3,"Tertiary Sector, #8","tempg-145090000, tempg-145100000",,,,,,,,
TS-1335,Thermocouple,Core Block #3,"Tertiary Sector, #9","htvat-1501007, htvat-1501008",,,,,,,,
TF-1336,Thermocouple,Core Block #3,"Tertiary Sector, #10","tempg-150090000, tempg-150100000",,,,,,,,
TS-1337,Thermocouple,Core Block #3,"Tertiary Sector, #13","httemp-160000901, httemp-160001001, htvat-1600009, htvat-1600010",,,,,,,,
TS-1338,Thermocouple,Core Block #3,"Tertiary Sector, #18","httemp-166000901, httemp-166001001",,,,,,,,
TS-1339,Thermocouple,Core Block #3,"Tertiary Sector, #3","httemp-140300701, httemp-140300801",,,,,,,,
TS-1340,Thermocouple,Core Block #3,"Tertiary Sector, #12","httemp-145300701, httemp-145300801, httemp-150300701, httemp-150300801",,,,,,,,
TS-1341,Thermocouple,Core Block #3,"Tertiary Sector, #15","tempg-164090000, tempg-164100000",,,,,,,,
TS-1342,Thermocouple,Core Block #3,"Tertiary Sector, #16","tempg-164090000, tempg-164100000",,,,,,,,
TS-1343,Thermocouple,Core Block #3,"Tertiary Sector, #17","tempg-164090000, tempg-164100000",,,,,,,,
,,,,,,,,,,,,
TS-1401,Thermocouple,Core Block #4,"Primary Sector, #1","httemp-130000801, httemp-130000901",,,,,,,,
TS-1402,Thermocouple,Core Block #4,"Primary Sector, #16","tempg-164080000, tempg-164090000",,,,,,,,
,,,,,,,,,,,,
